"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"2457","Kec. Kerumutan ","Pelalawan",0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2458","Kec. Pelalawan ","Pelalawan",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2459","Kec. Teluk Meranti ","Pelalawan",15,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"2460","Kec. Bandar Sei Kijang ","Pelalawan",18,0,0,0,1,0,6,0,6,0,6,0,6,0,6,0
"2461","Kec. Bandar Petalangan ","Pelalawan",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2462","Kec. Ujung Batu ","Rokan Hulu",78,29,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"2463","Kec. Rokan IV Koto ","Rokan Hulu",23,0,0,0,1,1,0,2,0,2,0,2,0,2,0,2
"2464","Kec. Rambah ","Rokan Hulu",47,0,0,0,5,0,3,1,3,1,3,1,3,1,3,1
"2465","Kec. Tambusai ","Rokan Hulu",36,0,0,0,5,0,6,0,6,0,6,0,6,0,6,0
"2466","Kec. Kepenuhan ","Rokan Hulu",18,15,1,1,1,1,0,2,0,2,0,2,0,2,0,2
"2467","Kec. Kunto Darussalam ","Rokan Hulu",3,18,1,1,0,1,4,2,4,2,4,2,4,2,4,2
"2468","Kec. Rambah Samo ","Rokan Hulu",21,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2469","Kec. Rambah Hilir ","Rokan Hulu",33,21,1,1,3,1,5,1,5,1,5,1,5,1,5,1
"2470","Kec. Tambusai Utara ","Rokan Hulu",55,0,0,0,6,0,4,2,4,2,4,2,4,2,4,2
"2471","Kec. Bangun Purba ","Rokan Hulu",14,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2472","Kec. Tandun ","Rokan Hulu",25,1,1,1,2,1,6,0,6,0,6,0,6,0,6,0
"2473","Kec. ","Rokan Hulu",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2474","Kec. Bonai Darussalam ","Rokan Hulu",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2475","Kec. Pagaran Tapah Darussalam ","Rokan Hulu",8,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2476","Kec. Pendalian IV Koto ","Rokan Hulu",9,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2477","Kec. Kepenuhan Hulu ","Rokan Hulu",15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2478","Kec. Kuantan Mudik ","Kuantan Singingi",20,9,1,1,1,1,4,0,4,0,4,0,4,0,4,0
"2479","Kec. Kuantan Tengah ","Kuantan Singingi",36,9,3,3,2,1,5,3,5,3,5,3,5,3,5,3
"2480","Kec. Benai ","Kuantan Singingi",37,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"2481","Kec. Singingi ","Kuantan Singingi",26,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"2482","Kec. Kuantan Hilir ","Kuantan Singingi",21,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2483","Kec. Cerenti ","Kuantan Singingi",36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2484","Kec. Pangean ","Kuantan Singingi",13,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2485","Kec. Logas Tanah Darat ","Kuantan Singingi",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2486","Kec. Inuman ","Kuantan Singingi",14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2487","Kec. Singingi Hilir ","Kuantan Singingi",37,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2488","Kec. Hulu Kuantan ","Kuantan Singingi",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2489","Kec. Gunung Toar ","Kuantan Singingi",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2490","Kec. Kuantan Hilir Seberang ","Kuantan Singingi",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2491","Kec. Sentajo Raya ","Kuantan Singingi",28,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0
"2492","Kec. Merbau ","Kepulauan Meranti",19,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2493","Kec. Rangsang ","Kepulauan Meranti",22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2494","Kec. Rangsang Barat ","Kepulauan Meranti",9,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"2495","Kec. Tebing Tinggi ","Kepulauan Meranti",74,17,1,1,4,1,8,0,8,0,8,0,8,0,8,0
"2496","Kec. Tebing Tinggi Barat ","Kepulauan Meranti",15,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"2497","Kec. Tasik Putri Puyu ","Kepulauan Meranti",16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2498","Kec. Pulau Merbau ","Kepulauan Meranti",19,0,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"2499","Kec. Tebing Tinggi Timur ","Kepulauan Meranti",9,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2500","Kec. Rangsang Pesisir ","Kepulauan Meranti",13,6,0,0,4,1,2,0,2,0,2,0,2,0,2,0
"2501","Kec. XIII Koto Kampar ","Kampar",25,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"2502","Kec. Kampar Kiri ","Kampar",38,0,0,0,4,0,2,0,2,0,2,0,2,0,2,0
"2503","Kec. Kampar ","Kampar",42,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2504","Kec. Tambang ","Kampar",55,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"2505","Kec. Bangkinang ","Kampar",17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2506","Kec. Kuok ","Kampar",21,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"2507","Kec. Siak Hulu ","Kampar",40,21,5,5,3,1,8,2,8,2,8,2,8,2,8,2
"2508","Kec. Tapung ","Kampar",79,0,0,0,8,0,5,3,5,3,5,3,5,3,5,3
"2509","Kec. Kampar Kiri Hulu ","Kampar",9,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2510","Kec. Kampar Kiri Hilir ","Kampar",12,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2511","Kec. Tapung Hulu ","Kampar",51,0,0,0,3,0,8,0,8,0,8,0,8,0,8,0
"2512","Kec. Tapung Hilir ","Kampar",34,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2513","Kec. Salo ","Kampar",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2514","Kec. Rumbio Jaya ","Kampar",9,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"2515","Kec. Bangkinang ","Kampar",102,0,0,0,7,0,9,1,9,1,9,1,9,1,9,1
"2516","Kec. Perhentian Raja ","Kampar",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2517","Kec. Kampa ","Kampar",43,0,2,2,1,1,4,0,4,0,4,0,4,0,4,0
"2518","Kec. Kampar Utara ","Kampar",19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2519","Kec. Kampar Kiri Tengah ","Kampar",26,2,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2520","Kec. Gunung Sahilan ","Kampar",22,0,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"2521","Kec. Koto Kampar Hulu ","Kampar",38,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"2522","Kec. Mandau ","Bengkalis",282,10,1,1,16,1,21,5,21,5,21,5,21,5,21,5
"2523","Kec. Bengkalis ","Bengkalis",97,12,1,1,6,0,8,1,8,1,8,1,8,1,8,1
"2524","Kec. Bantan ","Bengkalis",22,33,4,4,2,2,1,1,1,1,1,1,1,1,1,1
"2525","Kec. Bukit Batu ","Bengkalis",52,6,3,3,3,1,6,0,6,0,6,0,6,0,6,0
"2526","Kec. Rupat ","Bengkalis",46,0,0,0,5,0,2,2,2,2,2,2,2,2,2,2
"2527","Kec. Rupat Utara ","Bengkalis",9,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2528","Kec. Siak Kecil ","Bengkalis",35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2529","Kec. Pinggir ","Bengkalis",99,9,0,0,11,0,10,1,10,1,10,1,10,1,10,1
"2530","Kec. Bathin Solapan ","Bengkalis",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2531","Kec. Talang Muandau ","Bengkalis",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2532","Kec. Tampan ","Pekanbaru",134,0,0,0,12,0,20,2,20,2,20,2,20,2,20,2
"2533","Kec. Bukit Raya ","Pekanbaru",55,22,3,3,4,1,9,1,9,1,9,1,9,1,9,1
"2534","Kec. Lima Puluh ","Pekanbaru",81,0,0,0,4,0,9,1,9,1,9,1,9,1,9,1
"2535","Kec. Sail ","Pekanbaru",122,18,3,3,3,1,5,3,5,3,5,3,5,3,5,3
"2536","Kec. Pekanbaru ","Pekanbaru",3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2537","Kec. Sukajadi ","Pekanbaru",41,10,1,1,6,1,8,2,8,2,8,2,8,2,8,2
"2538","Kec. Senapelan ","Pekanbaru",41,12,3,3,3,1,6,2,6,2,6,2,6,2,6,2
"2539","Kec. Rumbai ","Pekanbaru",70,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"2540","Kec. Tenayan Raya ","Pekanbaru",102,3,0,0,5,1,10,2,10,2,10,2,10,2,10,2
"2541","Kec. Marpoyan Damai ","Pekanbaru",80,18,3,3,5,3,6,2,6,2,6,2,6,2,6,2
"2542","Kec. Rumbai Pesisir ","Pekanbaru",82,2,0,0,6,0,12,0,12,0,12,0,12,0,12,0
"2543","Kec. Payung Sekaki ","Pekanbaru",65,42,6,6,5,2,14,6,14,6,14,6,14,6,14,6
"2544","Kec. Bukit Kapur ","Dumai",30,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2545","Kec. Dumai Barat ","Dumai",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2546","Kec. Dumai Timur ","Dumai",46,0,0,0,4,0,2,0,2,0,2,0,2,0,2,0
"2547","Kec. Medang Kampai ","Dumai",8,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"2548","Kec. Sungai Sembilan ","Dumai",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2549","Kec. Dumai ","Dumai",14,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"2550","Kec. Dumai Selatan ","Dumai",88,6,3,3,5,1,6,2,6,2,6,2,6,2,6,2
"2551","Kec. Kubu ","Rokan Hilir",34,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2552","Kec. Bangko ","Rokan Hilir",107,10,0,0,9,0,30,4,30,4,30,4,30,4,30,4
"2553","Kec. Tanah Putih ","Rokan Hilir",78,0,0,0,8,0,9,1,9,1,9,1,9,1,9,1
"2554","Kec. Rimba Melintang ","Rokan Hilir",29,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2555","Kec. Bagan Sinembah ","Rokan Hilir",148,15,2,2,14,2,14,6,14,6,14,6,14,6,14,6
"2556","Kec. Pasir Limau Kapas ","Rokan Hilir",23,18,2,2,4,0,9,2,9,2,9,2,9,2,9,2
"2557","Kec. Sinaboi ","Rokan Hilir",17,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2558","Kec. Tanah Pth Tanjung Melawan ","Rokan Hilir",12,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2559","Kec. Pujud ","Rokan Hilir",55,9,0,0,8,0,2,7,2,7,2,7,2,7,2,7
"2560","Kec. Bangko Pusako ","Rokan Hilir",76,0,0,0,6,0,6,2,6,2,6,2,6,2,6,2
"2561","Kec. Simpang Kanan ","Rokan Hilir",23,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"2562","Kec. Batu Hampar ","Rokan Hilir",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2563","Kec. Rantau Kopar ","Rokan Hilir",4,5,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2564","Kec. Pekaitan ","Rokan Hilir",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2565","Kec. Kubu Babussalam ","Rokan Hilir",34,3,0,0,4,0,6,0,6,0,6,0,6,0,6,0
"2566","Kec. Minas ","Siak",5,24,3,3,1,1,0,2,0,2,0,2,0,2,0,2
"2567","Kec. Siak ","Siak",50,0,1,1,4,0,3,1,3,1,3,1,3,1,3,1
"2568","Kec. Sungai Apit ","Siak",38,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2569","Kec. Tualang ","Siak",128,0,0,0,7,0,4,0,4,0,4,0,4,0,4,0
"2570","Kec. Kerinci Kanan ","Siak",16,5,3,3,0,2,0,0,0,0,0,0,0,0,0,0
"2571","Kec. Dayun ","Siak",28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2572","Kec. Bunga Raya ","Siak",28,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2573","Kec. Sungai Mandau ","Siak",0,15,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"2574","Kec. Kandis ","Siak",60,3,1,1,4,1,5,1,5,1,5,1,5,1,5,1
"2575","Kec. Lubuk Dalam ","Siak",18,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2576","Kec. Koto Gasib ","Siak",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2577","Kec. Pusako ","Siak",8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"2578","Kec. Sabak Auh ","Siak",1,14,3,3,0,1,2,2,2,2,2,2,2,2,2,2
"2579","Kec. Mempura ","Siak",22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2580","Kec. Peranap ","Indragiri Hulu",38,7,0,0,3,0,4,2,4,2,4,2,4,2,4,2
"2581","Kec. Pasir Penyu ","Indragiri Hulu",34,0,0,0,3,0,5,1,5,1,5,1,5,1,5,1
"2582","Kec. Kelayang ","Indragiri Hulu",17,4,1,1,2,0,4,0,4,0,4,0,4,0,4,0
"2583","Kec. Seberida ","Indragiri Hulu",32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2584","Kec. Rengat ","Indragiri Hulu",61,2,0,0,4,0,6,2,6,2,6,2,6,2,6,2
"2585","Kec. Rengat Barat ","Indragiri Hulu",27,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"2586","Kec. Lirik ","Indragiri Hulu",21,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2587","Kec. Batang Gansal ","Indragiri Hulu",25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2588","Kec. Batang Cenaku ","Indragiri Hulu",28,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2589","Kec. Lubuk Batu Jaya ","Indragiri Hulu",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2590","Kec. Sei Lala ","Indragiri Hulu",19,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2591","Kec. Rakit Kulim ","Indragiri Hulu",12,0,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"2592","Kec. Kuala Cenaku ","Indragiri Hulu",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2593","Kec. Keritang ","Indragiri Hilir",49,1,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"2594","Kec. Reteh ","Indragiri Hilir",27,0,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"2595","Kec. Enok ","Indragiri Hilir",28,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0
"2596","Kec. Tanah Merah ","Indragiri Hilir",22,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2597","Kec. Kuala Indragiri ","Indragiri Hilir",3,4,1,1,1,0,0,4,0,4,0,4,0,4,0,4
"2598","Kec. Tembilahan ","Indragiri Hilir",50,20,1,1,4,1,14,0,14,0,14,0,14,0,14,0
"2599","Kec. Tempuling ","Indragiri Hilir",24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"2600","Kec. Batang Tuaka ","Indragiri Hilir",10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2601","Kec. Gaung Anak Serka ","Indragiri Hilir",23,0,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"2602","Kec. Gaung ","Indragiri Hilir",39,0,0,0,6,0,3,1,3,1,3,1,3,1,3,1
"2603","Kec. Mandah ","Indragiri Hilir",21,5,0,0,5,0,1,1,1,1,1,1,1,1,1,1
"2604","Kec. Kateman ","Indragiri Hilir",18,9,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2605","Kec. Kemuning ","Indragiri Hilir",17,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2606","Kec. Pelangiran ","Indragiri Hilir",13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2607","Kec. Pulau Burung ","Indragiri Hilir",17,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2608","Kec. Teluk Belengkong ","Indragiri Hilir",16,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"2609","Kec. Tembilahan Hulu ","Indragiri Hilir",28,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2610","Kec. Concong ","Indragiri Hilir",4,0,0,0,11,0,2,0,2,0,2,0,2,0,2,0
"2611","Kec. Kempas ","Indragiri Hilir",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2612","Kec. Sungai Batang ","Indragiri Hilir",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2613","Kec. Rimbo Bujang ","Tebo",43,5,2,2,5,0,5,1,5,1,5,1,5,1,5,1
"2614","Kec. Tebo Ilir ","Tebo",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2615","Kec. Tebo Tengah ","Tebo",49,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2616","Kec. Tebo Ulu ","Tebo",49,0,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"2617","Kec. Sumay ","Tebo",19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2618","Kec. VII Koto ","Tebo",23,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2619","Kec. Rimbo Ilir ","Tebo",18,3,0,0,2,0,3,0,3,0,3,0,3,0,3,0
"2620","Kec. Rimbo Ulu ","Tebo",67,0,1,1,4,0,5,1,5,1,5,1,5,1,5,1
"2621","Kec. Tengah Ilir ","Tebo",9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2622","Kec. Serai Serumpun ","Tebo",3,3,0,0,1,0,0,4,0,4,0,4,0,4,0,4
"2623","Kec. Muara Tabir ","Tebo",10,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2624","Kec. ","Jambi",106,1,0,0,4,0,12,2,12,2,12,2,12,2,12,2
"2625","Kec. Jambi Selatan ","Jambi",67,0,0,0,6,0,10,4,10,4,10,4,10,4,10,4
"2626","Kec. Jelutung ","Jambi",78,0,0,0,7,0,14,1,14,1,14,1,14,1,14,1
"2627","Kec. Telanai Pura ","Jambi",86,0,0,0,6,0,10,2,10,2,10,2,10,2,10,2
"2628","Kec. Danau Teluk ","Jambi",22,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
"2629","Kec. Jambi Timur ","Jambi",76,0,0,0,5,0,9,1,9,1,9,1,9,1,9,1
"2630","Kec. Alam Barajo ","Jambi",50,18,2,2,3,2,6,2,6,2,6,2,6,2,6,2
"2631","Kec. Danau Sipin ","Jambi",40,61,10,10,5,3,12,6,12,6,12,6,12,6,12,6
"2632","Kec. Paal Merah ","Jambi",26,36,4,4,4,2,10,5,10,5,10,5,10,5,10,5
"2633","Kec. Sungai Penuh ","Sungai Penuh",56,3,0,0,3,0,5,0,5,0,5,0,5,0,5,0
"2634","Kec. Hamparan Rawang ","Sungai Penuh",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2635","Kec. Pondok Tinggi ","Sungai Penuh",33,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"2636","Kec. Koto Baru ","Sungai Penuh",30,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2637","Kec. Sungai Bungkal ","Sungai Penuh",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2638","Kec. Mersam ","Batang Hari",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2639","Kec. Muara Tembesi ","Batang Hari",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2640","Kec. Batin XXIV ","Batang Hari",15,9,2,2,1,1,3,1,3,1,3,1,3,1,3,1
"2641","Kec. Muara Bulian ","Batang Hari",112,6,1,1,9,1,14,1,14,1,14,1,14,1,14,1
"2642","Kec. Pemayung ","Batang Hari",23,0,0,0,3,1,3,1,3,1,3,1,3,1,3,1
"2643","Kec. Maro Sebo Ulu ","Batang Hari",10,19,2,2,0,1,2,0,2,0,2,0,2,0,2,0
"2644","Kec. Bajubang ","Batang Hari",12,5,1,1,1,0,2,0,2,0,2,0,2,0,2,0
"2645","Kec. Maro Sebo Ilir ","Batang Hari",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2646","Kec. Tanah Tumbuh ","Bungo",21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2647","Kec. Tanah Sepenggal ","Bungo",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2648","Kec. Jujuhan ","Bungo",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2649","Kec. Rantau Pandan ","Bungo",20,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"2650","Kec. Pelepat ","Bungo",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2651","Kec. Pelepat Ilir ","Bungo",53,1,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"2652","Kec. Limbur Lubuk Mengkuang ","Bungo",13,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
"2653","Kec. Bathin II Babeko ","Bungo",8,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"2654","Kec. Muko Muko Batin VII ","Bungo",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2655","Kec. Bathin III ","Bungo",16,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2656","Kec. Bathin II Pelayang ","Bungo",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2657","Kec. Jujuhan Ilir ","Bungo",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2658","Kec. Rimbo Tengah ","Bungo",84,0,0,0,4,0,7,1,7,1,7,1,7,1,7,1
"2659","Kec. Tanah Sepenggal Lintas ","Bungo",27,5,1,1,1,1,1,3,1,3,1,3,1,3,1,3
"2660","Kec. Jambi Luar ","Muaro Jambi",90,17,2,2,3,1,7,2,7,2,7,2,7,2,7,2
"2661","Kec. Mestong ","Muaro Jambi",40,21,2,2,6,0,3,0,3,0,3,0,3,0,3,0
"2662","Kec. Kumpeh Ulu ","Muaro Jambi",20,3,1,1,2,1,1,3,1,3,1,3,1,3,1,3
"2663","Kec. Sekernan ","Muaro Jambi",0,25,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"2664","Kec. Maro Sebo ","Muaro Jambi",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2665","Kec. Kumpeh ","Muaro Jambi",1,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"2666","Kec. Sungai Bahar ","Muaro Jambi",29,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"2667","Kec. Sungai Gelam ","Muaro Jambi",31,1,0,0,1,1,4,1,4,1,4,1,4,1,4,1
"2668","Kec. Bahar Utara ","Muaro Jambi",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2669","Kec. Bahar Selatan ","Muaro Jambi",8,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2670","Kec. Mendahara ","Tanjung Jabung Timur",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2671","Kec. Dendang ","Tanjung Jabung Timur",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2672","Kec. Nipah Panjang ","Tanjung Jabung Timur",15,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2673","Kec. Rantau Rasau ","Tanjung Jabung Timur",21,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2674","Kec. Sadu ","Tanjung Jabung Timur",0,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"2675","Kec. Geragai ","Tanjung Jabung Timur",27,5,1,1,1,1,2,0,2,0,2,0,2,0,2,0
"2676","Kec. Muara Sabak Barat ","Tanjung Jabung Timur",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2677","Kec. Kuala Jambi ","Tanjung Jabung Timur",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2678","Kec. Berbak ","Tanjung Jabung Timur",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2679","Kec. Muara Sabak Timur ","Tanjung Jabung Timur",21,0,0,0,3,0,2,2,2,2,2,2,2,2,2,2
"2680","Kec. Jangkat ","Merangin",21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2681","Kec. Bangko ","Merangin",20,28,2,2,3,1,2,2,2,2,2,2,2,2,2,2
"2682","Kec. Pamenang ","Merangin",15,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2683","Kec. Muara Siau ","Merangin",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2684","Kec. Sungai Manau ","Merangin",12,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2685","Kec. Tabir ","Merangin",19,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2686","Kec. Tabir Ulu ","Merangin",8,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2687","Kec. Lembah Masurai ","Merangin",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2688","Kec. Tabir Selatan ","Merangin",24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"2689","Kec. Nalo Tantan ","Merangin",25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2690","Kec. Batang Masumai ","Merangin",12,0,0,0,1,0,3,1,3,1,3,1,3,1,3,1
"2691","Kec. Pamenang Barat ","Merangin",0,33,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"2692","Kec. Renah Pemparap ","Merangin",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2693","Kec. Jangkat Timur ","Merangin",5,2,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"2694","Kec. Tiang Pumpung ","Merangin",4,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2695","Kec. Renah Pamenang  ","Merangin",16,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"2696","Kec. Tabir Lintas ","Merangin",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2697","Kec. Margo Tabir ","Merangin",13,0,0,0,1,0,5,1,5,1,5,1,5,1,5,1
"2698","Kec. Tabir Barat ","Merangin",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2699","Kec. Batang Asai ","Sarolangun",9,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
