wilayah_id;kode_wilayah;nama;id_level_wilayah;mst_kode_wilayah
a2974335-ad8a-4d25-9afa-4bb2d49b9f9f;52207;Kec. Tapen                    ;3;52200
b4ba4885-7a09-4f5a-b727-00dc3e79ce74;52208;Kec. Wonosari                 ;3;52200
929b727c-1bac-4c0e-a072-9c089238519c;52209;Kec. Tenggarang               ;3;52200
8d8002a3-c2cf-4916-9fcc-6ec9711e7c6e;52210;Kec. Bondowoso                ;3;52200
20ebd961-d086-4f87-a379-6dd05cc2e790;52211;Kec. Curahdami                ;3;52200
75dfc4f1-4f1a-4d3b-9295-b932030f79ba;52212;Kec. Pakem                    ;3;52200
49f87e12-2d6d-49bf-9c0e-54e69920e31e;52213;Kec. Wringin                  ;3;52200
01835cb9-179a-4b18-b4a3-81047a9988ad;52214;Kec. Tegalampel               ;3;52200
2650d1b8-1d37-4157-9603-19647a9ecddb;52215;Kec. Klabang                  ;3;52200
6205965f-4779-489e-8521-ae3c55b3083a;52216;Kec. Prajekan                 ;3;52200
06e3db20-27af-43bf-8cc6-9c3794550479;52217;Kec. Cermee                   ;3;52200
a6b86245-115a-4b17-ac2b-57661fef8af8;52218;Kec. Binakal                  ;3;52200
6c8782a2-89d5-4624-8252-f3bdeb44e6c2;52219;Kec. Sumber Wringin           ;3;52200
1e89b054-f007-4e22-aba8-175cdd335467;52220;Kec. Sempol                   ;3;52200
2535a578-3bce-405a-acfc-bb31faf1862b;52221;Kec. Jambesari Darus Sholah   ;3;52200
6e5dd72c-bb5e-4de5-9fca-3fce8648c492;52222;Kec. Taman Krocok             ;3;52200
278f50e6-bfd2-4070-97c1-e2486496c90c;52223;Kec. Botolinggo               ;3;52200
a9248fa2-78ee-4a8a-986d-36c7655fcfd9;52300;Kab. Situbondo                ;2;50000
bb1386a2-e77e-4289-9a18-689a7503b0b4;52301;Kec. Sumber Malang            ;3;52300
29404828-7772-4e6e-8b49-3e56a31c2255;52302;Kec. Jatibanteng              ;3;52300
941b3153-2199-437d-9fec-d7419a516c66;52303;Kec. Banyuglugur              ;3;52300
e06be080-fb8f-47bc-ad73-4d245b0f116d;52304;Kec. Besuki                   ;3;52300
6167dac1-4d51-4535-9d37-907fe705ea8d;52305;Kec. Suboh                    ;3;52300
428c790e-f559-4d32-9b9f-d4832b8a0e01;52306;Kec. Mlandingan               ;3;52300
ca844737-b1ed-418c-a634-b2513bc9bb87;52307;Kec. Bungatan                 ;3;52300
87e3cb03-3d2b-4122-98b9-73e4ce821bac;52308;Kec. Kendit                   ;3;52300
90c42069-284d-4b73-b937-e3a8e41bdc2d;52309;Kec. Panarukan                ;3;52300
c928d00a-e397-4df5-8255-b3cba7963d52;52310;Kec. Situbondo                ;3;52300
bdf89fc2-c5a9-49c8-b80d-a46c09510166;52311;Kec. Mangaran                 ;3;52300
88d287ea-e281-4c2a-bd71-386c30c9d2f0;52312;Kec. Panji                    ;3;52300
185c7a2b-1488-4cc8-a839-58c2375fe428;52313;Kec. Kapongan                 ;3;52300
451d3adc-bc5b-40cc-a552-e41ba7dec90d;52314;Kec. Arjasa                   ;3;52300
f8f04ee9-69df-4053-8722-72fbb7bf4f18;52315;Kec. Jangkar                  ;3;52300
73cd92d4-c83e-4cc0-aab8-1ab99a3e0e4b;52316;Kec. Asembagus                ;3;52300
ea9d20f3-761c-4730-880a-70eae345416a;52317;Kec. Banyuputih               ;3;52300
66602df1-a422-4235-b873-e87695ec7ef4;52400;Kab. Jember                   ;2;50000
392d518e-9ef8-4a3a-83f3-dfd3e7fa36c6;52401;Kec. Kencong                  ;3;52400
437e9cfe-a432-465e-8f75-29326716c3b5;52402;Kec. Gumuk Mas                ;3;52400
fa54b039-0a62-4a8d-8067-acc8b7d399ff;52403;Kec. Puger                    ;3;52400
5e6e663a-5064-4eaf-9222-8f55c00f0ff4;52404;Kec. Wuluhan                  ;3;52400
c6409549-830b-4335-9479-4d6b3da3bcb3;52405;Kec. Ambulu                   ;3;52400
1b8a5d8f-4787-43c1-9b66-c2a33bfda0b9;52406;Kec. Tempurejo                ;3;52400
e9bc8cfc-5725-4a29-a45d-f41ed7cde97e;52407;Kec. Silo                     ;3;52400
d9f85645-1c7e-4ae5-bffd-02be23fbdf35;52408;Kec. Mayang                   ;3;52400
03769e07-ba9e-4bf5-8b66-53eb3a152bdf;52409;Kec. Mumbulsari               ;3;52400
04f119f4-c6f2-4130-9909-eb8e5bf0ef00;52410;Kec. Jenggawah                ;3;52400
98db5690-2072-4561-9ce1-32fc33da47c1;52411;Kec. Ajung                    ;3;52400
e1d8aaaf-b65d-49b0-a49e-a3082c414a11;52412;Kec. Rambipuji                ;3;52400
a7c1d277-f748-4557-b5a7-953bfd9fe700;52413;Kec. Balung                   ;3;52400
b803eace-9fcd-4879-a443-f32222e2c7cd;52414;Kec. Umbulsari                ;3;52400
c701cef1-8e7c-4f90-912e-1ed1fa4906d9;52415;Kec. Semboro                  ;3;52400
3d028bd0-e38a-4932-8b30-71a6adf7fe35;52416;Kec. Jombang                  ;3;52400
80b13fca-160a-4c93-9bac-80fc2465609f;52417;Kec. Sumberbaru               ;3;52400
670b49a5-4b6e-4bc0-98bc-6e6dc7ba3b5c;52418;Kec. Tanggul                  ;3;52400
4067bbe2-3fd7-4949-abd8-db07e4612623;52419;Kec. Bangsalsari              ;3;52400
4f5bdd4e-e31e-49ef-883c-044f78094a80;52420;Kec. Panti                    ;3;52400
ed30fc51-7fd9-4848-bb3e-e38dbe04f466;52421;Kec. Sukorambi                ;3;52400
8c834407-6bb9-480f-8722-ce6bcb72ab2c;52422;Kec. Arjasa                   ;3;52400
4aaaaa4e-6af3-498d-b2c1-0254b910cf2f;52423;Kec. Pakusari                 ;3;52400
02dc4704-0bf0-41a5-9a6e-71518a9d6ebf;52424;Kec. Kalisat                  ;3;52400
69aef7f2-87aa-4dce-bd2f-0dd5d2041f7b;52425;Kec. Ledok Ombo               ;3;52400
a0744ef8-cf9e-45f4-ae19-5b1c9e6ecf09;52426;Kec. Sumberjambe              ;3;52400
d4fe531c-e560-49da-bd99-2b28256ac2ba;52427;Kec. Sukowono                 ;3;52400
4e6514f6-5460-409f-a128-35e909cea501;52428;Kec. Jelbuk                   ;3;52400
4566c88d-19b7-48ef-b6f9-c9c59df27f17;52429;Kec. Kaliwates                ;3;52400
8925a2c7-cb0f-4ba5-b64b-9dd58f9f5500;52430;Kec. Sumbersari               ;3;52400
2f143578-ff7a-4c78-b8bf-893ef7402327;52431;Kec. Patrang                  ;3;52400
850902ed-dd83-4827-85c1-b260029d5d66;52500;Kab. Banyuwangi               ;2;50000
