"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"729","Kec. Tempel ","Sleman","DI Yogyakarta",0,0,0.4,0,0.33
"730","Kec. Turi ","Sleman","DI Yogyakarta",0,0,0.4,0,1
"731","Kec. Pakem ","Sleman","DI Yogyakarta",0.03,0,0.18,0,0.2
"732","Kec. Cangkringan ","Sleman","DI Yogyakarta",0,0,0.33,0,0.5
"733","Kec. Gamping ","Sleman","DI Yogyakarta",0.43,0.38,0.38,0.5,0.5
"734","Kec. Semanu ","Gunung Kidul","Bengkulu",0,1,1,0.67,0.67
"735","Kec. Ponjong ","Gunung Kidul","Bengkulu",0.42,0.5,0.8,0.25,0.67
"736","Kec. Wonosari ","Gunung Kidul","Bengkulu",0.02,0,0.19,0,0.21
"737","Kec. Playen ","Gunung Kidul","Bengkulu",0.2,0.29,0.55,0.5,0.75
"738","Kec. Patuk ","Gunung Kidul","Bengkulu",0.27,0,0,0,0
"739","Kec. Ngawen ","Gunung Kidul","Bengkulu",0,0,0.25,0,0.5
"740","Kec. Semin ","Gunung Kidul","Bengkulu",0.08,0.25,0.25,0,0.25
"741","Kec. Tanjungsari ","Gunung Kidul","Bengkulu",0.12,0,0.25,0,0.5
"742","Kec. Wates ","Kulon Progo","DI Yogyakarta",0.21,0.33,0.09,0.12,0.07
"743","Kec. Galur ","Kulon Progo","DI Yogyakarta",0,0,0.25,0,0.5
"744","Kec. Sentolo ","Kulon Progo","DI Yogyakarta",0.86,0.75,0.5,1,0.1
"745","Kec. Pengasih ","Kulon Progo","DI Yogyakarta",0.05,0.33,0.5,1,1
"746","Kec. Kokap ","Kulon Progo","DI Yogyakarta",0,0,0.25,0,0.5
"747","Kec. Girimulyo ","Kulon Progo","DI Yogyakarta",1,0,0.25,0,0.5
"748","Kec. Samigaluh ","Kulon Progo","DI Yogyakarta",0,1,1,0,0.5
"749","Kec. Mergangsan ","Yogyakarta","Bengkulu",0,0,0.11,0,0.12
"750","Kec. Umbulharjo ","Yogyakarta","Bengkulu",0.69,0.41,0.32,0.5,0.33
"751","Kec. ","Yogyakarta","Bengkulu",0.55,0.43,0.33,0.25,0.33
"752","Kec. Gondokusuman ","Yogyakarta","Bengkulu",0.17,0.29,0.17,0.3,0.17
"753","Kec. Gondomanan ","Yogyakarta","Bengkulu",0.09,0,0.17,0.17,0.14
"754","Kec. Ngampilan ","Yogyakarta","Bengkulu",0,0,0.25,0,0.5
"755","Kec. Jetis ","Yogyakarta","Bengkulu",0.62,0.33,0.45,0.25,0.62
"756","Kec. Watulimo ","Trenggalek","Jawa Timur",0.25,0,0,0,0
"757","Kec. Dongko ","Trenggalek","Jawa Timur",0,0,0.25,0,0.5
"758","Kec. Karangan ","Trenggalek","Jawa Timur",0.06,0.17,0.17,0.33,0.33
"759","Kec. Durenan ","Trenggalek","Jawa Timur",0,0,0.25,0,0.25
"760","Kec. Trenggalek ","Trenggalek","Jawa Timur",0.02,0,0.14,0,0.25
"761","Kec. Bendungan ","Trenggalek","Jawa Timur",0.89,1,0,1,0
"762","Kec. Donomulyo ","Malang","Jawa Timur",0,0,0.5,0,0.5
"763","Kec. Kalipare ","Malang","Jawa Timur",0,0,0.67,0,1
"764","Kec. Sumber Manjing Wetan ","Malang","Jawa Timur",0.31,0,0.67,0.5,1
"765","Kec. Dampit ","Malang","Jawa Timur",0,0,0.22,0,0.5
"766","Kec. Tirto Yudo ","Malang","Jawa Timur",0,0.5,0,0,0
"767","Kec. Wajak ","Malang","Jawa Timur",1,1,0,1,0
"768","Kec. Turen ","Malang","Jawa Timur",0,0,0.2,0,0.25
"769","Kec. Pagelaran ","Malang","Jawa Timur",0.05,0,0,0,0
"770","Kec. Gondanglegi ","Malang","Jawa Timur",0.15,0.14,0.4,0.14,0.5
"771","Kec. Bululawang ","Malang","Jawa Timur",0.27,0.38,0.17,0.14,0.12
"772","Kec. Kepanjen ","Malang","Jawa Timur",0,0,0.15,0,0.17
"773","Kec. Wagir ","Malang","Jawa Timur",1,0.5,0,1,0
"774","Kec. Tumpang ","Malang","Jawa Timur",0.02,0,0.12,0,0.12
"775","Kec. Pakis ","Malang","Jawa Timur",0.05,0,0,0,0
"776","Kec. Jabung ","Malang","Jawa Timur",0,0,0.5,0,0.5
"777","Kec. Lawang ","Malang","Jawa Timur",0.08,0.3,0.36,0.2,0.4
"778","Kec. Singosari ","Malang","Jawa Timur",0,0,0.11,0,0.12
"779","Kec. Dau ","Malang","Jawa Timur",0,0,0.08,0,0.12
"780","Kec. Kasembon ","Malang","Jawa Timur",1,0,0,1,0
"781","Kec. Pragaan ","Sumenep","Jawa Timur",0.09,0,0,0.33,0
"782","Kec. Bluto ","Sumenep","Jawa Timur",0.07,0,0.5,0.5,1
"783","Kec. Talango ","Sumenep","Jawa Timur",1,1,0,1,0
"784","Kec. ","Sumenep","Jawa Timur",0.09,0.27,0.11,0.11,0.07
"785","Kec. Lenteng ","Sumenep","Jawa Timur",0,0,0.22,0,0.33
"786","Kec. Ganding ","Sumenep","Jawa Timur",0,0,0.12,0,0.17
"787","Kec. Guluk Guluk ","Sumenep","Jawa Timur",0.26,0,0.67,0.14,0.4
"788","Kec. Ambunten ","Sumenep","Jawa Timur",0.34,0,0.67,0,0.5
"789","Kec. Rubaru ","Sumenep","Jawa Timur",0,0,1,0,0.5
"790","Kec. Manding ","Sumenep","Jawa Timur",0.33,0,0,0,0
"791","Kec. Gapura ","Sumenep","Jawa Timur",0.57,0.33,0.5,0,0.5
"792","Kec. Batang-Batang ","Sumenep","Jawa Timur",0.25,0,0,0.25,0
"793","Kec. Dungkek ","Sumenep","Jawa Timur",0,0,1,0,0.5
"794","Kec. Nonggunong ","Sumenep","Jawa Timur",0.5,0,0,0,0
"795","Kec. Gayam ","Sumenep","Jawa Timur",0.74,0,0,0,0
"796","Kec. Ra as ","Sumenep","Jawa Timur",0.5,0,0,0,0
"797","Kec. Sapeken ","Sumenep","Jawa Timur",0.21,0,0.5,0,0.25
"798","Kec. Arjasa ","Sumenep","Jawa Timur",0.09,0,0,0.25,0
"799","Kec. Masalembu ","Sumenep","Jawa Timur",0,0,0.25,0,0.25
"800","Kec. Kangayan ","Sumenep","Jawa Timur",0.14,0,0,0,0
"801","Kec. Labang ","Bangkalan","Jawa Tengah",0,0,0.4,0,0.33
"802","Kec. Modung ","Bangkalan","Jawa Tengah",0.15,0.43,0.6,0.14,0.6
"803","Kec. Blega ","Bangkalan","Jawa Tengah",0.12,0.2,0.56,0.1,0.31
"804","Kec. Konang ","Bangkalan","Jawa Tengah",0,1,1,0.33,0.25
"805","Kec. Tanah Merah ","Bangkalan","Jawa Tengah",0,0,1,0,0.5
"806","Kec. Bangkalan ","Bangkalan","Jawa Tengah",0.02,0.12,0.17,0.33,0.3
"807","Kec. Burneh ","Bangkalan","Jawa Tengah",0.11,0,0.3,0.1,0.38
"808","Kec. Arosbaya ","Bangkalan","Jawa Tengah",0.33,0.2,0.2,0.5,0.25
"809","Kec. Geger ","Bangkalan","Jawa Tengah",0.35,0,0,0.33,0
"810","Kec. Kokop ","Bangkalan","Jawa Tengah",0.27,0.5,0.5,0.2,0.5
"811","Kec. Tanjungbumi ","Bangkalan","Jawa Tengah",0.19,0.5,0.67,1,0.5
"812","Kec. Sepulu ","Bangkalan","Jawa Tengah",0.33,0.5,0.5,0.33,0.5
"813","Kec. Bandar KedungMulyo ","Jombang","Jawa Tengah",0.6,0.5,0.5,0,0.5
"814","Kec. Perak ","Jombang","Jawa Tengah",0,0,0.4,0,0.5
"815","Kec. Diwek ","Jombang","Jawa Tengah",0.11,0.09,0.29,0.25,0.4
"816","Kec. Ngoro ","Jombang","Jawa Tengah",0.1,0,0,0,0
"817","Kec. Mojowarno ","Jombang","Jawa Tengah",0.45,0.5,0,0.33,0
"818","Kec. Bareng ","Jombang","Jawa Tengah",0,0,0.33,0,0.5
"819","Kec. Sumobito ","Jombang","Jawa Tengah",1,0,1,1,1
"820","Kec. Jogoroto ","Jombang","Jawa Tengah",0.04,0,1,0,0.67
"821","Kec. Peterongan ","Jombang","Jawa Tengah",0,0,0.29,0,0.4
"822","Kec. Jombang ","Jombang","Jawa Tengah",0.03,0.05,0.1,0.25,0.14
"823","Kec. Megaluh ","Jombang","Jawa Tengah",0,0,1,0,0.5
"824","Kec. Kudu ","Jombang","Jawa Tengah",0.36,0,0,0.5,0
"825","Kec. ","Jombang","Jawa Tengah",0,0,0.4,0,0.5
"826","Kec. Plandaan ","Jombang","Jawa Tengah",0.21,0.5,0.5,0,0.5
"827","Kec. Tambakrejo ","Bojonegoro","Jawa Tengah",0.13,1,1,0,1
"828","Kec. Sugihwaras ","Bojonegoro","Jawa Tengah",0.78,0.5,0,0.5,0
"829","Kec. Kedungadem ","Bojonegoro","Jawa Tengah",0,0,0.2,0,0.5
"830","Kec. Kepohbaru ","Bojonegoro","Jawa Tengah",0.62,0.5,0.86,0.67,0.75
"831","Kec. Kanor ","Bojonegoro","Jawa Tengah",0,0,1,0,0.5
"832","Kec. Sumberrejo ","Bojonegoro","Jawa Tengah",0.59,0.5,0.5,0.25,0.5
"833","Kec. Sukosewu ","Bojonegoro","Jawa Tengah",0,0,1,1,1
"834","Kec. Bojonegoro ","Bojonegoro","Jawa Tengah",0.35,0.47,0.33,0.2,0.28
"835","Kec. Dander ","Bojonegoro","Jawa Tengah",0.59,1,1,0.5,0.75
"836","Kec. Kalitidu ","Bojonegoro","Jawa Tengah",0.45,0.5,0.5,0.5,0.5
"837","Kec. Malo ","Bojonegoro","Jawa Tengah",0.92,0.5,0,0.5,0
"838","Kec. Gondang ","Bojonegoro","Jawa Tengah",0.58,1,1,0.67,1
"839","Kec. Gayam ","Bojonegoro","Jawa Tengah",1,0,0,1,0
"840","Kec. Ngrayun ","Ponorogo","Jawa Timur",0.04,0,0,0,0
"841","Kec. Bungkal ","Ponorogo","Jawa Timur",0.25,0,0,0,0
"842","Kec. Sooko ","Ponorogo","Jawa Timur",0,0,0.5,0,0.5
"843","Kec. Pulung ","Ponorogo","Jawa Timur",0.29,0,0,0,0
"844","Kec. Jetis ","Ponorogo","Jawa Timur",0.13,0,0,0,0
"845","Kec. Balong ","Ponorogo","Jawa Timur",0.59,0.75,0,0.5,0
"846","Kec. Kauman ","Ponorogo","Jawa Timur",1,1,1,0,1
"847","Kec. Ponorogo ","Ponorogo","Jawa Timur",0.2,0.27,0.31,0.29,0.36
"848","Kec. Sukapura ","Probolinggo","Jawa Timur",0,0,0.33,0,0.5
"849","Kec. Bantaran ","Probolinggo","Jawa Timur",0.06,0,0,0,0
"850","Kec. Leces ","Probolinggo","Jawa Timur",0.55,0.4,0.5,0.5,0.38
