"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"851","Kec. Tegalsiwalan ","Probolinggo","Jawa Timur",0.6,1,0,1,0
"852","Kec. Banyuanyar ","Probolinggo","Jawa Timur",0.4,1,1,0.5,1
"853","Kec. Tiris ","Probolinggo","Jawa Timur",0,0.5,0.67,0,0.5
"854","Kec. Krucil ","Probolinggo","Jawa Timur",0.05,0,0,0,0
"855","Kec. Gading ","Probolinggo","Jawa Timur",0,0,0.25,0,0.17
"856","Kec. ","Probolinggo","Jawa Timur",1,1,0,1,0
"857","Kec. Paiton ","Probolinggo","Jawa Timur",0,0.11,0.11,0,0.1
"858","Kec. Kraksaan ","Probolinggo","Jawa Timur",0.2,0.17,0.17,0.09,0.08
"859","Kec. Krejengan ","Probolinggo","Jawa Timur",0.45,0,0.5,0.43,0.25
"860","Kec. Pajarakan ","Probolinggo","Jawa Timur",0,0.6,0.5,0,0.5
"861","Kec. Maron ","Probolinggo","Jawa Timur",0.73,0.75,0.5,0.67,0.5
"862","Kec. Gending ","Probolinggo","Jawa Timur",0.08,0,0.25,0.33,0.25
"863","Kec. Dringu ","Probolinggo","Jawa Timur",0,0,0.5,0,0.5
"864","Kec. Tongas ","Probolinggo","Jawa Timur",0.14,0.5,0.4,0.33,0.5
"865","Kec. Sumberasih ","Probolinggo","Jawa Timur",0,0,0.5,0,0.33
"866","Kec. Kedungkandang ","Malang","Jawa Timur",0.46,0.44,0.29,0.29,0.25
"867","Kec. Sukun ","Malang","Jawa Timur",0.02,0,0,0,0
"868","Kec. Klojen ","Malang","Jawa Timur",0.02,0.06,0.06,0.11,0.07
"869","Kec. Lowokwaru ","Malang","Jawa Timur",0,0,0.21,0,0.22
"870","Kec. Manguharjo ","Madiun","Jawa Tengah",0,0,0.1,0,0.12
"871","Kec. Taman ","Madiun","Jawa Tengah",0,0.07,0.22,0,0.4
"872","Kec. Kartoharjo ","Madiun","Jawa Tengah",0,0,0.12,0,0.2
"873","Kec. Mojoroto ","Kediri","Jawa Tengah",0.44,0.62,0.52,0.5,0.4
"874","Kec. ","Kediri","Jawa Tengah",0.12,0.38,0.17,0,0.17
"875","Kec. Prajurit Kulon ","Mojokerto","Jawa Timur",0,0,0.19,0,0.25
"876","Kec. Magersari ","Mojokerto","Jawa Timur",0,0,0.06,0,0.07
"877","Kec. Sukorejo ","Blitar","Jawa Tengah",0,0,0.25,0,0.25
"878","Kec. Kepanjenkidul ","Blitar","Jawa Tengah",0.07,0.25,0.25,0.25,0.14
"879","Kec. Sananwetan ","Blitar","Jawa Tengah",0.22,0,0.22,0.2,0.17
"880","Kec. Purworejo ","Pasuruan","Jawa Timur",0,0,0.12,0,0.25
"881","Kec. Panggungrejo ","Pasuruan","Jawa Timur",0.05,0,0.18,0,0.25
"882","Kec. Kanigaran ","Probolinggo","Jawa Timur",0,0,0.11,0,0.2
"883","Kec. Batu ","Batu","Jawa Tengah",0.02,0,0.12,0,0.21
"884","Kec. Kenduruan ","Tuban","Jawa Timur",0.54,0.5,0,1,0
"885","Kec. Senori ","Tuban","Jawa Timur",0.4,1,0,1,0
"886","Kec. Singgahan ","Tuban","Jawa Timur",0,0,0.33,0,0.5
"887","Kec. Soko ","Tuban","Jawa Timur",0.9,1,1,1,0.5
"888","Kec. Rengel ","Tuban","Jawa Timur",0.44,0.25,0,1,0
"889","Kec. Plumpang ","Tuban","Jawa Timur",0,0,0.33,0,0.25
"890","Kec. Palang ","Tuban","Jawa Timur",0,0,0.2,0,0.5
"891","Kec. Tuban ","Tuban","Jawa Timur",0.26,0.18,0.07,0.11,0.07
