"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"71","Kec. Jatitujuh ","Majalengka","Jawa Barat",24,3,2,0,1,0,0,0,0,0
"72","Kec. Ligung ","Majalengka","Jawa Barat",25,0,4,0,2,0,2,0,8,0
"73","Kec. Sumberjaya ","Majalengka","Jawa Barat",20,0,2,0,1,0,2,0,8,0
"74","Kec. Sindang ","Majalengka","Jawa Barat",10,0,1,0,1,0,2,0,8,0
"75","Kec. Kasokandel ","Majalengka","Jawa Barat",71,0,8,0,2,0,4,0,16,0
"76","Kec. Waled ","Cirebon","Jambi",31,0,3,0,1,0,2,0,8,0
"77","Kec. Ciledug ","Cirebon","Jambi",31,0,7,0,2,0,4,0,16,0
"78","Kec. Losari ","Cirebon","Jambi",36,0,5,0,2,0,7,1,28,4
"79","Kec. Babakan ","Cirebon","Jambi",26,11,1,3,1,1,3,1,12,4
"80","Kec. Karang Sembung ","Cirebon","Jambi",4,0,0,0,1,0,0,0,0,0
"81","Kec. Lemah Abang ","Cirebon","Jambi",59,4,6,0,3,0,12,0,48,0
"82","Kec. Astana Japura ","Cirebon","Jambi",30,0,3,0,1,0,0,0,0,0
"83","Kec. Beber ","Cirebon","Jambi",31,26,3,3,2,1,6,2,24,8
"84","Kec. Sumber ","Cirebon","Jambi",34,9,5,1,1,1,4,0,16,0
"85","Kec. Palimanan ","Cirebon","Jambi",11,33,1,4,1,1,3,3,12,12
"86","Kec. Plumbon ","Cirebon","Jambi",33,0,4,0,2,0,1,1,4,4
"87","Kec. Weru ","Cirebon","Jambi",3,0,1,0,1,0,1,1,4,4
"88","Kec. Kapetakan ","Cirebon","Jambi",5,0,2,0,1,0,0,0,0,0
"89","Kec. Klangenan ","Cirebon","Jambi",3,0,1,0,1,0,0,0,0,0
"90","Kec. Arjawinangun ","Cirebon","Jambi",34,2,3,0,1,0,4,0,16,0
"91","Kec. Ciwaringin ","Cirebon","Jambi",18,0,1,0,1,0,1,1,4,4
"92","Kec. Susukan ","Cirebon","Jambi",28,0,7,0,2,0,1,1,4,4
"93","Kec. Gegesik ","Cirebon","Jambi",45,6,6,1,2,1,1,1,4,4
"94","Kec. Pabedilan ","Cirebon","Jambi",29,0,2,1,1,1,0,0,0,0
"95","Kec. Dukupuntang ","Cirebon","Jambi",27,25,3,3,1,1,1,2,4,8
"96","Kec. Panguragan ","Cirebon","Jambi",18,0,1,0,1,0,0,0,0,0
"97","Kec. Kaliwedi ","Cirebon","Jambi",9,3,3,1,2,0,0,0,0,0
"98","Kec. Pangenan ","Cirebon","Jambi",3,0,0,0,0,0,0,0,0,0
"99","Kec. Kedawung ","Cirebon","Jambi",28,0,11,0,4,0,5,1,20,4
"100","Kec. Karangwareng ","Cirebon","Jambi",68,0,6,0,2,0,2,0,8,0
"101","Kec. Gunung Jati ","Cirebon","Jambi",0,6,0,3,0,1,0,2,0,8
"102","Kec. Tengah Tani ","Cirebon","Jambi",6,0,2,0,1,0,1,1,4,4
"103","Kec. Suranenggala ","Cirebon","Jambi",21,0,3,0,1,0,4,0,16,0
"104","Kec. Jamblang ","Cirebon","Jambi",27,8,2,1,1,0,0,2,0,8
"105","Kec. ","Bogor","Jawa Barat",98,18,15,0,12,0,13,3,52,12
"106","Kec. ","Bogor","Jawa Barat",73,7,20,0,8,0,11,1,44,4
"107","Kec. ","Bogor","Jawa Barat",161,2,14,3,8,0,13,0,52,0
"108","Kec. ","Bogor","Jawa Barat",132,22,25,3,14,0,16,2,64,8
"109","Kec. ","Bogor","Jawa Barat",151,24,22,3,10,1,13,3,52,12
"110","Kec. Tanah Sareal ","Bogor","Jawa Barat",111,21,12,2,6,3,7,7,28,28
"111","Kec. Baros ","Sukabumi","Jawa Barat",9,0,0,0,1,0,0,0,0,0
"112","Kec. Citamiang ","Sukabumi","Jawa Barat",43,18,2,1,2,0,2,2,8,8
"113","Kec. Warudoyong ","Sukabumi","Jawa Barat",0,0,1,0,0,0,0,0,0,0
"114","Kec. Gunung Puyuh ","Sukabumi","Jawa Barat",64,0,10,1,5,0,7,1,28,4
