"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"2697","Kec. Margo Tabir ","Merangin","Gorontalo",13,0,3,0,1,0,5,1,20,4
"2698","Kec. Tabir Barat ","Merangin","Gorontalo",6,0,0,0,1,0,0,0,0,0
"2699","Kec. Batang Asai ","Sarolangun","Jambi",9,0,2,0,1,0,1,1,4,4
"2700","Kec. Limun ","Sarolangun","Jambi",15,0,2,0,2,0,0,0,0,0
"2701","Kec. Sarolangun ","Sarolangun","Jambi",64,1,6,0,5,0,4,0,16,0
"2702","Kec. Pelawan ","Sarolangun","Jambi",19,0,3,0,3,0,5,1,20,4
"2703","Kec. Pauh ","Sarolangun","Jambi",20,0,2,0,2,0,3,1,12,4
"2704","Kec. Mandiangin ","Sarolangun","Jambi",24,0,4,0,2,0,1,1,4,4
"2705","Kec. Air Hitam ","Sarolangun","Jambi",13,0,3,0,2,0,0,0,0,0
"2706","Kec. Bathin VIII ","Sarolangun","Jambi",20,3,4,0,3,1,0,0,0,0
"2707","Kec. Singkut ","Sarolangun","Jambi",34,7,6,1,4,1,3,3,12,12
"2708","Kec. Cermin Nan Gedang ","Sarolangun","Jambi",3,2,2,0,1,0,0,2,0,8
"2709","Kec. Tungkal Ulu ","Tanjung Jabung Barat","Gorontalo",14,0,1,0,1,0,4,2,16,8
"2710","Kec. Pengabuan ","Tanjung Jabung Barat","Gorontalo",19,1,0,1,1,0,1,1,4,4
"2711","Kec. Tungkal Ilir ","Tanjung Jabung Barat","Gorontalo",85,29,10,2,3,4,6,0,24,0
"2712","Kec. Betara ","Tanjung Jabung Barat","Gorontalo",33,4,6,0,1,2,1,0,4,0
"2713","Kec. Merlung ","Tanjung Jabung Barat","Gorontalo",29,0,4,0,1,1,1,1,4,4
"2714","Kec. Batang Asam ","Tanjung Jabung Barat","Gorontalo",18,4,2,0,1,2,1,0,4,0
"2715","Kec. Tebing Tinggi ","Tanjung Jabung Barat","Gorontalo",13,16,3,3,2,1,2,2,8,8
"2716","Kec. Renah Mendaluh ","Tanjung Jabung Barat","Gorontalo",2,11,0,2,0,2,2,0,8,0
"2717","Kec. Muara Papalik ","Tanjung Jabung Barat","Gorontalo",7,3,2,0,1,0,1,2,4,8
"2718","Kec. Senyerang ","Tanjung Jabung Barat","Gorontalo",19,0,2,0,3,0,3,1,12,4
"2719","Kec. Bram Itam ","Tanjung Jabung Barat","Gorontalo",4,0,0,0,0,0,0,0,0,0
"2720","Kec. Kuala Betara ","Tanjung Jabung Barat","Gorontalo",3,0,1,0,1,0,0,0,0,0
"2721","Kec. Gunung Raya ","Kerinci","Jambi",20,0,7,0,2,0,4,0,16,0
"2722","Kec. Batang Merangin ","Kerinci","Jambi",19,0,2,0,2,0,1,1,4,4
"2723","Kec. Keliling Danau ","Kerinci","Jambi",34,0,4,0,2,0,3,1,12,4
"2724","Kec. Danau Kerinci ","Kerinci","Jambi",6,16,1,1,1,1,0,0,0,0
"2725","Kec. Sitinjau Laut ","Kerinci","Jambi",23,0,2,0,1,0,2,0,8,0
"2726","Kec. Gunung Kerinci ","Kerinci","Jambi",9,0,3,0,1,0,0,0,0,0
"2727","Kec. Kayu Aro ","Kerinci","Jambi",34,0,2,0,1,0,1,1,4,4
"2728","Kec. Air Hangat Timur ","Kerinci","Jambi",12,0,3,0,2,0,2,0,8,0
"2729","Kec. Siulak ","Kerinci","Jambi",24,0,3,0,1,0,1,1,4,4
"2730","Kec. Bukit Kerman ","Kerinci","Jambi",13,0,3,0,1,0,1,1,4,4
"2731","Kec. Air Hangat Barat ","Kerinci","Jambi",30,0,1,0,1,0,0,0,0,0
"2732","Kec. Siulak Mukai ","Kerinci","Jambi",0,3,0,0,0,0,0,0,0,0
"2733","Kec. Tanjung Raja ","Ogan Ilir","Sulawesi Utara",51,15,8,2,4,1,6,2,24,8
"2734","Kec. Muara Kuang ","Ogan Ilir","Sulawesi Utara",14,0,5,0,2,0,1,1,4,4
"2735","Kec. Tanjung Batu ","Ogan Ilir","Sulawesi Utara",49,11,6,0,4,0,4,0,16,0
"2736","Kec. Indralaya ","Ogan Ilir","Sulawesi Utara",39,0,9,0,3,0,3,1,12,4
"2737","Kec. Pemulutan ","Ogan Ilir","Sulawesi Utara",17,0,3,0,1,0,0,0,0,0
"2738","Kec. Rantau Alai ","Ogan Ilir","Sulawesi Utara",0,15,0,3,0,1,0,2,0,8
"2739","Kec. Rambang Kuang ","Ogan Ilir","Sulawesi Utara",12,1,6,0,2,0,2,0,8,0
"2740","Kec. Lubuk Keliat ","Ogan Ilir","Sulawesi Utara",10,0,3,0,1,0,2,0,8,0
"2741","Kec. Payaraman ","Ogan Ilir","Sulawesi Utara",8,4,2,1,1,0,2,0,8,0
"2742","Kec. Kandis ","Ogan Ilir","Sulawesi Utara",12,0,1,0,1,0,2,0,8,0
"2743","Kec. Pemulutan Selatan ","Ogan Ilir","Sulawesi Utara",0,12,2,0,1,0,2,0,8,0
"2744","Kec. Pemulutan Barat ","Ogan Ilir","Sulawesi Utara",12,0,3,0,1,0,2,0,8,0
"2745","Kec. Indralaya Selatan ","Ogan Ilir","Sulawesi Utara",3,15,1,2,1,0,0,2,0,8
"2746","Kec. Indralaya Utara ","Ogan Ilir","Sulawesi Utara",28,0,4,3,2,1,1,1,4,4
"2747","Kec. Rantau Panjang ","Ogan Ilir","Sulawesi Utara",10,0,1,0,1,0,1,1,4,4
"2748","Kec. Sungai Pinang ","Ogan Ilir","Sulawesi Utara",12,0,4,0,1,0,0,0,0,0
"2749","Kec. Lintang Kanan ","Empat Lawang","Sulawesi Tenggara",28,0,1,3,2,0,0,0,0,0
"2750","Kec. Muara Pinang ","Empat Lawang","Sulawesi Tenggara",32,5,5,0,2,0,1,1,4,4
"2751","Kec. Pendopo ","Empat Lawang","Sulawesi Tenggara",16,0,4,0,1,0,0,0,0,0
"2752","Kec. Ulu Musi ","Empat Lawang","Sulawesi Tenggara",0,17,0,2,0,1,0,0,0,0
"2753","Kec. Tebing Tinggi ","Empat Lawang","Sulawesi Tenggara",58,0,6,0,4,0,10,0,40,0
"2754","Kec. Talang Padang ","Empat Lawang","Sulawesi Tenggara",11,0,3,0,1,0,0,0,0,0
"2755","Kec. Pasemah Air Keruh ","Empat Lawang","Sulawesi Tenggara",16,0,3,0,1,0,0,0,0,0
"2756","Kec. Sikap Dalam ","Empat Lawang","Sulawesi Tenggara",10,0,3,0,1,0,0,0,0,0
"2757","Kec. Saling ","Empat Lawang","Sulawesi Tenggara",9,0,0,0,1,0,2,0,8,0
"2758","Kec. Pendopo Barat ","Empat Lawang","Sulawesi Tenggara",0,29,0,3,0,1,0,2,0,8
"2759","Kec. Sanga Desa ","Musi Banyuasin","Sulawesi Tenggara",41,1,13,0,6,0,1,1,4,4
"2760","Kec. Babat Toman ","Musi Banyuasin","Sulawesi Tenggara",22,17,4,3,2,1,2,2,8,8
"2761","Kec. Sungai Keruh ","Musi Banyuasin","Sulawesi Tenggara",39,0,5,0,4,0,6,0,24,0
"2762","Kec. Sekayu ","Musi Banyuasin","Sulawesi Tenggara",89,14,11,6,8,1,10,6,40,24
"2763","Kec. Sungai Lilin ","Musi Banyuasin","Sulawesi Tenggara",59,1,11,0,7,0,9,1,36,4
"2764","Kec. Bayung Lencir ","Musi Banyuasin","Sulawesi Tenggara",17,6,4,1,1,1,2,0,8,0
"2765","Kec. Lais ","Musi Banyuasin","Sulawesi Tenggara",43,0,11,0,4,0,6,2,24,8
"2766","Kec. Batanghari Leko ","Musi Banyuasin","Sulawesi Tenggara",10,0,3,0,2,0,5,1,20,4
"2767","Kec. Keluang ","Musi Banyuasin","Sulawesi Tenggara",32,0,5,0,4,0,8,0,32,0
"2768","Kec. Plakat Tinggi ","Musi Banyuasin","Sulawesi Tenggara",23,3,4,0,3,0,4,1,16,4
"2769","Kec. Lalan ","Musi Banyuasin","Sulawesi Tenggara",31,14,2,1,4,1,1,3,4,12
"2770","Kec. Tungkal Jaya ","Musi Banyuasin","Sulawesi Tenggara",60,11,11,0,9,0,3,1,12,4
"2771","Kec. Lawang Wetan ","Musi Banyuasin","Sulawesi Tenggara",3,17,0,2,1,1,4,2,16,8
"2772","Kec. Babat Supat ","Musi Banyuasin","Sulawesi Tenggara",37,3,7,0,4,0,6,0,24,0
"2773","Kec. Rantau Bayur ","Banyuasin","Sulawesi Tenggara",0,10,0,3,0,1,0,0,0,0
"2774","Kec. Talang Kelapa ","Banyuasin","Sulawesi Tenggara",54,0,11,0,5,0,8,0,32,0
"2775","Kec. Banyuasin III ","Banyuasin","Sulawesi Tenggara",73,0,10,1,5,0,11,1,44,4
"2776","Kec. Betung ","Banyuasin","Sulawesi Tenggara",35,11,5,0,2,0,2,0,8,0
"2777","Kec. Makarti Jaya ","Banyuasin","Sulawesi Tenggara",21,0,3,0,3,0,2,2,8,8
"2778","Kec. Banyuasin I ","Banyuasin","Sulawesi Tenggara",43,3,8,1,5,1,6,2,24,8
"2779","Kec. Banyuasin II ","Banyuasin","Sulawesi Tenggara",18,0,3,0,1,0,1,1,4,4
"2780","Kec. Rambutan ","Banyuasin","Sulawesi Tenggara",21,0,3,0,1,0,2,0,8,0
"2781","Kec. Muara Telang ","Banyuasin","Sulawesi Tenggara",27,0,4,0,2,0,1,1,4,4
"2782","Kec. Muara Padang ","Banyuasin","Sulawesi Tenggara",21,0,4,0,2,0,4,0,16,0
"2783","Kec. Tanjung Lago ","Banyuasin","Sulawesi Tenggara",8,14,3,1,1,1,2,2,8,8
"2784","Kec. Muara Sugihan ","Banyuasin","Sulawesi Tenggara",19,0,4,1,3,0,0,0,0,0
"2785","Kec. Air Salek ","Banyuasin","Sulawesi Tenggara",30,0,3,1,4,0,6,1,24,4
"2786","Kec. Tungkal Ilir ","Banyuasin","Sulawesi Tenggara",26,0,7,0,4,0,5,2,20,8
"2787","Kec. Suak Tapeh ","Banyuasin","Sulawesi Tenggara",10,0,3,0,1,0,0,0,0,0
"2788","Kec. Pulau Rimau ","Banyuasin","Sulawesi Tenggara",37,0,9,0,5,0,4,2,16,8
"2789","Kec. Sembawa ","Banyuasin","Sulawesi Tenggara",31,5,4,0,3,1,0,2,0,8
"2790","Kec. Sumber Marga Telang ","Banyuasin","Sulawesi Tenggara",12,0,2,0,2,0,2,0,8,0
"2791","Kec. Air Kumbang ","Banyuasin","Sulawesi Tenggara",22,5,9,0,4,0,2,2,8,8
"2792","Kec. Karang Agung Ilir ","Banyuasin","Sulawesi Tenggara",0,7,0,2,0,1,0,0,0,0
"2793","Kec. Pagar Alam Utara ","Pagar Alam","Sulawesi Utara",14,30,2,3,2,1,4,2,16,8
"2794","Kec. Pagar Alam Selatan ","Pagar Alam","Sulawesi Utara",61,1,4,3,2,1,5,3,20,12
"2795","Kec. Dempo Utara ","Pagar Alam","Sulawesi Utara",18,1,3,0,1,0,2,0,8,0
"2796","Kec. Dempo Selatan ","Pagar Alam","Sulawesi Utara",1,8,2,0,1,0,0,0,0,0
"2797","Kec. Dempo Tengah ","Pagar Alam","Sulawesi Utara",28,0,2,1,1,0,3,1,12,4
"2798","Kec. Stl Ulu Terawas ","Musi Rawas","Sulawesi Utara",30,0,4,0,2,0,6,0,24,0
"2799","Kec. Tugu Mulyo ","Musi Rawas","Sulawesi Utara",34,11,5,1,3,1,2,2,8,8
"2800","Kec. Muara Beliti ","Musi Rawas","Sulawesi Utara",31,4,6,0,2,0,4,0,16,0
"2801","Kec. Jayaloka ","Musi Rawas","Sulawesi Utara",17,3,3,0,1,0,2,0,8,0
"2802","Kec. Muara Kelingi ","Musi Rawas","Sulawesi Utara",34,9,5,1,2,1,2,0,8,0
"2803","Kec. Muara Lakitan ","Musi Rawas","Sulawesi Utara",22,7,3,0,2,1,2,2,8,8
"2804","Kec. Megang Sakti ","Musi Rawas","Sulawesi Utara",38,0,4,0,2,0,4,0,16,0
"2805","Kec. Purwodadi ","Musi Rawas","Sulawesi Utara",22,0,2,0,1,0,4,0,16,0
"2806","Kec. Selangit ","Musi Rawas","Sulawesi Utara",17,0,4,0,2,0,2,2,8,8
"2807","Kec. Bulan Tengah Suku Ulu ","Musi Rawas","Sulawesi Utara",29,0,5,0,2,0,0,0,0,0
"2808","Kec. Tiang Pumpung Kepungut ","Musi Rawas","Sulawesi Utara",6,0,1,0,1,0,0,0,0,0
"2809","Kec. Sumber Harta ","Musi Rawas","Sulawesi Utara",8,0,2,0,1,0,1,1,4,4
"2810","Kec. Tuah Negeri ","Musi Rawas","Sulawesi Utara",10,8,0,3,1,1,4,0,16,0
"2811","Kec. Suka Karya ","Musi Rawas","Sulawesi Utara",14,3,5,0,1,1,3,1,12,4
"2812","Kec. Martapura ","Ogan Komering Ulu Timur","Sulawesi Utara",65,5,9,3,4,1,5,3,20,12
"2813","Kec. Buay Madang ","Ogan Komering Ulu Timur","Sulawesi Utara",36,0,8,0,4,0,6,2,24,8
"2814","Kec. Cempaka ","Ogan Komering Ulu Timur","Sulawesi Utara",24,0,4,0,2,0,3,1,12,4
"2815","Kec. Madang Suku I ","Ogan Komering Ulu Timur","Sulawesi Utara",6,8,0,0,2,0,2,0,8,0
"2816","Kec. Madang Suku II ","Ogan Komering Ulu Timur","Sulawesi Utara",23,7,2,0,2,0,0,0,0,0
"2817","Kec. Belitang II ","Ogan Komering Ulu Timur","Sulawesi Utara",14,10,1,1,1,0,2,0,8,0
"2818","Kec. Belitang III ","Ogan Komering Ulu Timur","Sulawesi Utara",23,0,2,0,1,0,1,1,4,4
"2819","Kec. Buay Pemuka Peliung ","Ogan Komering Ulu Timur","Sulawesi Utara",12,1,3,0,2,0,2,0,8,0
"2820","Kec. Semendawai Suku III ","Ogan Komering Ulu Timur","Sulawesi Utara",20,0,2,0,1,0,1,1,4,4
"2821","Kec. Buay Madang Timur ","Ogan Komering Ulu Timur","Sulawesi Utara",30,0,5,0,3,0,4,2,16,8
"2822","Kec. Madang Suku III ","Ogan Komering Ulu Timur","Sulawesi Utara",11,0,0,3,1,0,0,0,0,0
"2823","Kec. Semendawai Barat ","Ogan Komering Ulu Timur","Sulawesi Utara",27,2,3,1,2,0,1,2,4,8
"2824","Kec. Semendawai Timur ","Ogan Komering Ulu Timur","Sulawesi Utara",14,2,3,0,2,0,1,1,4,4
"2825","Kec. Jayapura ","Ogan Komering Ulu Timur","Sulawesi Utara",3,6,0,2,0,1,0,0,0,0
"2826","Kec. Belitang Jaya ","Ogan Komering Ulu Timur","Sulawesi Utara",7,0,2,0,1,0,1,0,4,0
"2827","Kec. Belitang Madang Raya ","Ogan Komering Ulu Timur","Sulawesi Utara",14,9,2,2,3,1,4,0,16,0
"2828","Kec. Belitang ","Ogan Komering Ulu Timur","Sulawesi Utara",55,19,9,2,3,3,8,4,32,16
"2829","Kec. ","Lahat","Sulawesi Tenggara",0,16,0,3,0,1,0,2,0,8
"2830","Kec. Pulau Pinang ","Lahat","Sulawesi Tenggara",15,0,3,0,1,0,2,0,8,0
"2831","Kec. Jarai ","Lahat","Sulawesi Tenggara",28,6,2,1,1,0,4,0,16,0
"2832","Kec. Kikim Timur ","Lahat","Sulawesi Tenggara",28,8,3,0,3,0,0,0,0,0
"2833","Kec. Lahat ","Lahat","Sulawesi Tenggara",175,36,23,4,13,1,23,5,92,20
"2834","Kec. Mulak Ulu ","Lahat","Sulawesi Tenggara",17,0,2,0,1,0,0,0,0,0
"2835","Kec. Pajar Bulan ","Lahat","Sulawesi Tenggara",10,0,1,0,1,0,1,1,4,4
"2836","Kec. Kikim Selatan ","Lahat","Sulawesi Tenggara",21,0,2,0,2,0,0,0,0,0
"2837","Kec. Kikim Barat ","Lahat","Sulawesi Tenggara",14,0,1,0,1,0,0,0,0,0
"2838","Kec. Kikim Tengah ","Lahat","Sulawesi Tenggara",16,0,1,2,1,1,4,0,16,0
"2839","Kec. Tanjung Sakti Pumi ","Lahat","Sulawesi Tenggara",16,0,1,0,1,0,1,1,4,4
"2840","Kec. Tanjung Sakti Pumu ","Lahat","Sulawesi Tenggara",14,0,3,0,1,0,2,0,8,0
"2841","Kec. Merapi Barat ","Lahat","Sulawesi Tenggara",18,0,2,0,1,0,0,0,0,0
"2842","Kec. Pseksu ","Lahat","Sulawesi Tenggara",0,3,0,3,0,1,0,0,0,0
"2843","Kec. Gumay Talang ","Lahat","Sulawesi Tenggara",14,0,1,0,1,0,2,0,8,0
"2844","Kec. Pagar Gunung ","Lahat","Sulawesi Tenggara",16,0,2,0,1,0,1,1,4,4
"2845","Kec. Merapi Timur ","Lahat","Sulawesi Tenggara",12,0,1,0,1,0,2,0,8,0
"2846","Kec. Gumay Ulu ","Lahat","Sulawesi Tenggara",4,1,3,0,2,0,2,0,8,0
"2847","Kec. Merapi Selatan ","Lahat","Sulawesi Tenggara",12,0,1,0,1,0,0,0,0,0
"2848","Kec. Tanjung Tebat ","Lahat","Sulawesi Tenggara",6,3,1,1,0,1,0,0,0,0
"2849","Kec. Muara Payang ","Lahat","Sulawesi Tenggara",13,0,1,0,1,0,0,0,0,0
"2850","Kec. Lempuing ","Ogan Komering Ilir","Sulawesi Utara",23,1,2,1,3,0,1,0,4,0
"2851","Kec. Mesuji ","Ogan Komering Ilir","Sulawesi Utara",21,1,6,0,4,0,4,2,16,8
"2852","Kec. Tulung Selapan ","Ogan Komering Ilir","Sulawesi Utara",23,10,3,0,2,0,2,0,8,0
"2853","Kec. Pedamaran ","Ogan Komering Ilir","Sulawesi Utara",55,0,9,0,4,0,3,1,12,4
"2854","Kec. Tanjung Lubuk ","Ogan Komering Ilir","Sulawesi Utara",27,21,3,1,1,1,2,0,8,0
"2855","Kec. ","Ogan Komering Ilir","Sulawesi Utara",109,2,13,0,10,0,11,3,44,12
"2856","Kec. Sirah Pulau Padang ","Ogan Komering Ilir","Sulawesi Utara",29,0,3,0,2,0,2,0,8,0
"2857","Kec. Pampangan ","Ogan Komering Ilir","Sulawesi Utara",19,3,3,0,1,0,1,1,4,4
"2858","Kec. Air Sugihan ","Ogan Komering Ilir","Sulawesi Utara",25,3,6,0,2,0,0,0,0,0
"2859","Kec. Cengal ","Ogan Komering Ilir","Sulawesi Utara",13,0,3,0,1,0,2,0,8,0
"2860","Kec. Jejawi ","Ogan Komering Ilir","Sulawesi Utara",23,0,4,0,2,0,0,0,0,0
"2861","Kec. Sungai Menang ","Ogan Komering Ilir","Sulawesi Utara",25,0,5,0,3,0,4,0,16,0
"2862","Kec. Lempuing Jaya ","Ogan Komering Ilir","Sulawesi Utara",10,19,1,1,2,1,4,0,16,0
"2863","Kec. Mesuji Makmur ","Ogan Komering Ilir","Sulawesi Utara",18,0,4,0,2,0,0,0,0,0
"2864","Kec. Mesuji Raya ","Ogan Komering Ilir","Sulawesi Utara",18,3,6,0,1,2,5,1,20,4
"2865","Kec. Pedamaran Timur ","Ogan Komering Ilir","Sulawesi Utara",9,0,4,0,1,0,0,0,0,0
"2866","Kec. Teluk Gelam ","Ogan Komering Ilir","Sulawesi Utara",19,0,2,0,1,0,0,0,0,0
"2867","Kec. Pangkalan Lapam ","Ogan Komering Ilir","Sulawesi Utara",23,0,3,0,1,0,2,0,8,0
"2868","Kec. Sosoh Buay Rayap ","Ogan Komering Ulu","Sulawesi Utara",14,0,1,0,1,0,1,1,4,4
"2869","Kec. Pengandonan ","Ogan Komering Ulu","Sulawesi Utara",19,1,3,0,1,0,1,1,4,4
"2870","Kec. Peninjauan ","Ogan Komering Ulu","Sulawesi Utara",24,3,4,0,3,0,2,0,8,0
"2871","Kec. Lubuk Batang ","Ogan Komering Ulu","Sulawesi Utara",8,5,1,1,1,0,2,0,8,0
"2872","Kec. Ulu Ogan ","Ogan Komering Ulu","Sulawesi Utara",10,0,2,0,2,0,0,0,0,0
"2873","Kec. Semidang Aji ","Ogan Komering Ulu","Sulawesi Utara",22,0,2,0,2,0,1,1,4,4
"2874","Kec. Lengkiti ","Ogan Komering Ulu","Sulawesi Utara",38,4,4,0,3,0,3,1,12,4
"2875","Kec. Baturaja Timur ","Ogan Komering Ulu","Sulawesi Utara",113,14,17,2,9,1,16,4,64,16
"2876","Kec. Baturaja Barat ","Ogan Komering Ulu","Sulawesi Utara",28,0,5,0,2,0,2,2,8,8
"2877","Kec. Sinar Peninjauan ","Ogan Komering Ulu","Sulawesi Utara",15,0,2,0,1,0,2,0,8,0
"2878","Kec. Lubuk Raja ","Ogan Komering Ulu","Sulawesi Utara",31,7,6,0,3,0,1,1,4,4
"2879","Kec. Semende Darat Laut ","Muara Enim","Sulawesi Tenggara",15,0,1,0,1,0,0,0,0,0
"2880","Kec. Tanjung Agung ","Muara Enim","Sulawesi Tenggara",19,0,3,0,1,0,1,1,4,4
"2881","Kec. Lawang Kidul ","Muara Enim","Sulawesi Tenggara",56,0,7,0,4,0,5,1,20,4
"2882","Kec. Muara Enim ","Muara Enim","Sulawesi Tenggara",63,28,8,3,7,1,9,3,36,12
"2883","Kec. Gunung Megang ","Muara Enim","Sulawesi Tenggara",27,0,3,0,1,0,2,0,8,0
"2884","Kec. Gelumbang ","Muara Enim","Sulawesi Tenggara",20,23,4,1,2,0,4,0,16,0
"2885","Kec. Sungai Rotan ","Muara Enim","Sulawesi Tenggara",5,20,0,2,0,1,4,2,16,8
"2886","Kec. Lembak ","Muara Enim","Sulawesi Tenggara",23,0,3,0,1,0,1,1,4,4
"2887","Kec. Ujan Mas ","Muara Enim","Sulawesi Tenggara",21,0,3,0,1,0,2,0,8,0
"2888","Kec. Lubai ","Muara Enim","Sulawesi Tenggara",12,3,0,2,0,1,0,0,0,0
"2889","Kec. Rambang ","Muara Enim","Sulawesi Tenggara",13,0,1,0,1,0,2,0,8,0
"2890","Kec. Semende Darat Ulu ","Muara Enim","Sulawesi Tenggara",21,0,2,0,1,0,2,0,8,0
"2891","Kec. Semende Darat Tengah ","Muara Enim","Sulawesi Tenggara",1,0,0,0,0,0,0,0,0,0
"2892","Kec. Rambang Niru ","Muara Enim","Sulawesi Tenggara",32,1,4,0,3,0,1,1,4,4
"2893","Kec. Kelekar ","Muara Enim","Sulawesi Tenggara",1,9,2,1,0,1,0,0,0,0
"2894","Kec. Muara Belida ","Muara Enim","Sulawesi Tenggara",3,0,0,0,0,0,0,0,0,0
"2895","Kec. Lubai Ulu ","Muara Enim","Sulawesi Tenggara",15,0,3,0,1,0,0,1,0,4
"2896","Kec. Belimbing ","Muara Enim","Sulawesi Tenggara",13,6,2,1,1,0,0,2,0,8
"2897","KEC. PENUKAL UTARA ","Penukal Abab Lematang Ilir","Sulawesi Utara",20,0,4,0,2,0,2,0,8,0
"2898","KEC. ABAB ","Penukal Abab Lematang Ilir","Sulawesi Utara",43,0,3,0,4,0,2,0,8,0
"2899","KEC. TANAH ABANG ","Penukal Abab Lematang Ilir","Sulawesi Utara",38,14,3,1,4,1,6,2,24,8
"2900","KEC. TALANG UBI ","Penukal Abab Lematang Ilir","Sulawesi Utara",61,30,9,5,6,2,4,4,16,16
"2901","Kec. Penukal ","Penukal Abab Lematang Ilir","Sulawesi Utara",23,2,4,2,1,2,0,2,0,8
"2902","Kec. Rupit ","Musi Rawas Utara","Sulawesi Utara",43,5,7,0,2,0,3,1,12,4
"2903","Kec. Rawas Ulu ","Musi Rawas Utara","Sulawesi Utara",29,0,2,1,1,0,2,0,8,0
"2904","Kec. Nibung ","Musi Rawas Utara","Sulawesi Utara",0,12,5,0,2,0,2,0,8,0
"2905","Kec. Rawas IIlir ","Musi Rawas Utara","Sulawesi Utara",20,0,2,0,1,0,0,0,0,0
"2906","Kec. Karang Dapo ","Musi Rawas Utara","Sulawesi Utara",16,0,2,0,1,0,0,0,0,0
"2907","Kec. Karang Jaya ","Musi Rawas Utara","Sulawesi Utara",51,0,4,0,2,0,2,0,8,0
"2908","Kec. Ulu Rawas ","Musi Rawas Utara","Sulawesi Utara",17,0,1,0,1,0,0,0,0,0
"2909","Kec. Ilir Barat II ","Palembang","Sulawesi Utara",33,16,4,9,2,2,3,5,12,20
"2910","Kec. Seberang Ulu I ","Palembang","Sulawesi Utara",71,62,14,8,9,2,28,6,112,24
"2911","Kec. Seberang Ulu II ","Palembang","Sulawesi Utara",95,13,21,1,11,1,16,4,64,16
"2912","Kec. Ilir Barat I ","Palembang","Sulawesi Utara",199,67,26,7,17,2,25,5,100,20
"2913","Kec. Ilir Timur I ","Palembang","Sulawesi Utara",102,12,10,2,6,2,11,3,44,12
"2914","Kec. Ilir Timur II ","Palembang","Sulawesi Utara",234,81,37,8,19,3,34,8,136,32
"2915","Kec. Sako ","Palembang","Sulawesi Utara",32,30,3,3,3,2,2,4,8,16
"2916","Kec. Sukarami ","Palembang","Sulawesi Utara",105,50,14,8,10,2,12,8,48,32
"2917","Kec. Kemuning ","Palembang","Sulawesi Utara",138,34,26,2,9,1,25,1,100,4
"2918","Kec. Plaju ","Palembang","Sulawesi Utara",103,0,17,0,9,0,11,5,44,20
"2919","Kec. Kertapati ","Palembang","Sulawesi Utara",28,54,10,3,3,2,5,6,20,24
"2920","Kec. Gandus ","Palembang","Sulawesi Utara",25,27,6,3,4,1,4,4,16,16
"2921","Kec. Bukit Kecil ","Palembang","Sulawesi Utara",10,13,1,3,1,1,2,2,8,8
"2922","Kec. Kalidoni ","Palembang","Sulawesi Utara",117,23,15,3,9,0,12,4,48,16
"2923","Kec. Alang-Alang Lebar ","Palembang","Sulawesi Utara",57,0,10,0,3,0,6,0,24,0
"2924","Kec. Sematang Borang ","Palembang","Sulawesi Utara",0,0,0,0,0,0,0,0,0,0
"2925","Kec. Prabumulih Timur ","Prabumulih","Sulawesi Utara",38,15,8,2,3,2,6,4,24,16
"2926","Kec. Prabumulih Barat ","Prabumulih","Sulawesi Utara",39,15,4,6,3,1,4,2,16,8
"2927","Kec. Cambai ","Prabumulih","Sulawesi Utara",24,0,3,0,1,0,2,0,8,0
"2928","Kec. Rambang Kapak Tengah ","Prabumulih","Sulawesi Utara",0,19,0,3,0,1,0,2,0,8
"2929","Kec. Prabumulih Utara ","Prabumulih","Sulawesi Utara",16,15,4,1,3,1,6,2,24,8
"2930","Kec. Prabumulih Selatan ","Prabumulih","Sulawesi Utara",4,25,0,3,1,1,1,3,4,12
"2931","Kec. Lubuk Linggau Barat I ","Lubuk Linggau","Sulawesi Tenggara",57,12,5,3,3,1,4,2,16,8
"2932","Kec. Lubuk Linggau Timur I ","Lubuk Linggau","Sulawesi Tenggara",97,0,17,0,8,0,10,2,40,8
"2933","Kec. Lubuk Linggau Selatan I ","Lubuk Linggau","Sulawesi Tenggara",20,0,2,0,1,0,2,0,8,0
"2934","Kec. Lubuk Linggau Utara I ","Lubuk Linggau","Sulawesi Tenggara",35,0,4,0,4,0,4,0,16,0
"2935","Kec. Lubuk Linggau Barat II ","Lubuk Linggau","Sulawesi Tenggara",13,10,4,1,2,1,2,2,8,8
"2936","Kec. Lubuk Linggau Timur II ","Lubuk Linggau","Sulawesi Tenggara",28,0,3,0,2,0,4,0,16,0
"2937","Kec. Lubuk Linggau Selatan II ","Lubuk Linggau","Sulawesi Tenggara",29,0,4,0,2,0,2,0,8,0
"2938","Kec. Lubuk Linggau Utara II ","Lubuk Linggau","Sulawesi Tenggara",9,24,2,3,3,1,2,0,8,0
"2939","Kec. Banding Agung ","Ogan Komering Ulu Selatan","Sulawesi Utara",19,0,3,0,1,0,1,1,4,4
"2940","Kec. Pulau Beringin ","Ogan Komering Ulu Selatan","Sulawesi Utara",32,0,6,0,2,0,2,0,8,0
"2941","Kec. Muaradua Kisam ","Ogan Komering Ulu Selatan","Sulawesi Utara",10,5,3,1,1,1,0,0,0,0
