"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"87","Kec. Weru ","Cirebon","Jambi",0,0,0,0.5,0.5,0.5,0.5
"88","Kec. Kapetakan ","Cirebon","Jambi",0,0,0,NA,NA,NA,NA
"89","Kec. Klangenan ","Cirebon","Jambi",0,0,0,NA,NA,NA,NA
"90","Kec. Arjawinangun ","Cirebon","Jambi",0.06,0,0,0,0,0,0
"91","Kec. Ciwaringin ","Cirebon","Jambi",0,0,0,0.5,0.5,0.5,0.5
"92","Kec. Susukan ","Cirebon","Jambi",0,0,0,0.5,0.5,0.5,0.5
"93","Kec. Gegesik ","Cirebon","Jambi",0.12,0.14,0.33,0.5,0.5,0.5,0.5
"94","Kec. Pabedilan ","Cirebon","Jambi",0,0.33,0.5,NA,NA,NA,NA
"95","Kec. Dukupuntang ","Cirebon","Jambi",0.48,0.5,0.5,0.67,0.67,0.67,0.67
"96","Kec. Panguragan ","Cirebon","Jambi",0,0,0,NA,NA,NA,NA
"97","Kec. Kaliwedi ","Cirebon","Jambi",0.25,0.25,0,NA,NA,NA,NA
"98","Kec. Pangenan ","Cirebon","Jambi",0,NA,NA,NA,NA,NA,NA
"99","Kec. Kedawung ","Cirebon","Jambi",0,0,0,0.17,0.17,0.17,0.17
"100","Kec. Karangwareng ","Cirebon","Jambi",0,0,0,0,0,0,0
"101","Kec. Gunung Jati ","Cirebon","Jambi",1,1,1,1,1,1,1
"102","Kec. Tengah Tani ","Cirebon","Jambi",0,0,0,0.5,0.5,0.5,0.5
"103","Kec. Suranenggala ","Cirebon","Jambi",0,0,0,0,0,0,0
"104","Kec. Jamblang ","Cirebon","Jambi",0.23,0.33,0,1,1,1,1
"105","Kec. ","Bogor","Jawa Barat",0.16,0,0,0.19,0.19,0.19,0.19
"106","Kec. ","Bogor","Jawa Barat",0.09,0,0,0.08,0.08,0.08,0.08
"107","Kec. ","Bogor","Jawa Barat",0.01,0.18,0,0,0,0,0
"108","Kec. ","Bogor","Jawa Barat",0.14,0.11,0,0.11,0.11,0.11,0.11
"109","Kec. ","Bogor","Jawa Barat",0.14,0.12,0.09,0.19,0.19,0.19,0.19
"110","Kec. Tanah Sareal ","Bogor","Jawa Barat",0.16,0.14,0.33,0.5,0.5,0.5,0.5
"111","Kec. Baros ","Sukabumi","Jawa Barat",0,NA,0,NA,NA,NA,NA
"112","Kec. Citamiang ","Sukabumi","Jawa Barat",0.3,0.33,0,0.5,0.5,0.5,0.5
"113","Kec. Warudoyong ","Sukabumi","Jawa Barat",NA,0,NA,NA,NA,NA,NA
"114","Kec. Gunung Puyuh ","Sukabumi","Jawa Barat",0,0.09,0,0.12,0.12,0.12,0.12
"115","Kec. Cikole ","Sukabumi","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"116","Kec. Cibeureum ","Sukabumi","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"117","Kec. Harjamukti ","Cirebon","Jambi",0,0,0,0.25,0.25,0.25,0.25
"118","Kec. Lemahwungkuk ","Cirebon","Jambi",0,0,0,0.1,0.1,0.1,0.1
"119","Kec. Kesambi ","Cirebon","Jambi",0.19,0.16,0.2,0.29,0.29,0.29,0.29
"120","Kec. Kejaksan ","Cirebon","Jambi",0,0,0,0.25,0.25,0.25,0.25
"121","Kec. Pondokgede ","Bekasi","Jawa Barat",0.05,0,0,0.31,0.31,0.31,0.31
"122","Kec. Jatiasih ","Bekasi","Jawa Barat",0,0,0.08,0.29,0.29,0.29,0.29
"123","Kec. Bantargebang ","Bekasi","Jawa Barat",0.71,0.75,0.33,0,0,0,0
"124","Kec. Bekasi Timur ","Bekasi","Jawa Barat",0.1,0.2,0.07,0.46,0.46,0.46,0.46
"125","Kec. Bekasi Selatan ","Bekasi","Jawa Barat",0.08,0.03,0,0.1,0.1,0.1,0.1
"126","Kec. Bekasi Barat ","Bekasi","Jawa Barat",0.02,0,0,0.25,0.25,0.25,0.25
"127","Kec. Bekasi Utara ","Bekasi","Jawa Barat",0.01,0,0,0.15,0.15,0.15,0.15
"128","Kec. Jati Sampurna ","Bekasi","Jawa Barat",0.05,0.17,0.17,0.25,0.25,0.25,0.25
"129","Kec. Medan Satria ","Bekasi","Jawa Barat",0.13,0.23,0.18,0.33,0.33,0.33,0.33
