"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"2409","Kec. Lunang ","Pesisir Selatan","Sulawesi Tenggara",0,0,NA,NA,NA,NA,NA
"2410","Kec. Basa Ampek Balai Tapan ","Pesisir Selatan","Sulawesi Tenggara",0,0,0,0.5,0.5,0.5,0.5
"2411","Kec. Pancung Soal ","Pesisir Selatan","Sulawesi Tenggara",0,0,0,0.5,0.5,0.5,0.5
"2412","Kec. Linggo Saribaganti ","Pesisir Selatan","Sulawesi Tenggara",0,0,0,0,0,0,0
"2413","Kec. Ranah Pesisir ","Pesisir Selatan","Sulawesi Tenggara",0.27,0,0,0.5,0.5,0.5,0.5
"2414","Kec. Lengayang ","Pesisir Selatan","Sulawesi Tenggara",0.38,0.33,0.67,1,1,1,1
"2415","Kec. Sutera ","Pesisir Selatan","Sulawesi Tenggara",0.6,0.71,0.5,0.33,0.33,0.33,0.33
"2416","Kec. Batang Kapas ","Pesisir Selatan","Sulawesi Tenggara",0.04,0,0,0.5,0.5,0.5,0.5
"2417","Kec. IV Jurai ","Pesisir Selatan","Sulawesi Tenggara",0,0,0,0.17,0.17,0.17,0.17
"2418","Kec. Bayang ","Pesisir Selatan","Sulawesi Tenggara",0.43,0.4,0.5,1,1,1,1
"2419","Kec. Koto XI Terusan ","Pesisir Selatan","Sulawesi Tenggara",0.04,0,0,NA,NA,NA,NA
"2420","Kec. Bayang Utara ","Pesisir Selatan","Sulawesi Tenggara",0,0,0,0,0,0,0
"2421","Kec. Silaut ","Pesisir Selatan","Sulawesi Tenggara",0,0,0,0,0,0,0
"2422","Kec. Air Pura ","Pesisir Selatan","Sulawesi Tenggara",0.95,0,0,NA,NA,NA,NA
"2423","Kec. X Koto ","Tanah Datar","Sulawesi Tenggara",0.42,0.43,0.33,0.17,0.17,0.17,0.17
"2424","Kec. Batipuh ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2425","Kec. Pariangan ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2426","Kec. Rambatan ","Tanah Datar","Sulawesi Tenggara",0.56,0.5,0.33,1,1,1,1
"2427","Kec. Lima Kaum ","Tanah Datar","Sulawesi Tenggara",0.89,0.8,0.67,0.5,0.5,0.5,0.5
"2428","Kec. Tanjung Emas ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2429","Kec. Padang Ganting ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2430","Kec. Lintau Buo ","Tanah Datar","Sulawesi Tenggara",0,0,0,NA,NA,NA,NA
"2431","Kec. Sungayang ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2432","Kec. Sungai Tarab ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2433","Kec. Salimpaung ","Tanah Datar","Sulawesi Tenggara",0,0,0,0,0,0,0
"2434","Kec. Lintau Buo Utara ","Tanah Datar","Sulawesi Tenggara",0.57,1,0,1,1,1,1
"2435","Kec. Tanjung Mutiara ","Agam","Sulawesi Tengah",0,0,0,0,0,0,0
"2436","Kec. Lubuk Basung ","Agam","Sulawesi Tengah",0,0,0.25,0.38,0.38,0.38,0.38
"2437","Kec. Tanjung Raya ","Agam","Sulawesi Tengah",0,0,0,0.17,0.17,0.17,0.17
"2438","Kec. Matur ","Agam","Sulawesi Tengah",0,0,0,0.5,0.5,0.5,0.5
"2439","Kec. IV Koto ","Agam","Sulawesi Tengah",0,0,0,0.17,0.17,0.17,0.17
"2440","Kec. Baso ","Agam","Sulawesi Tengah",0,0,0,0.5,0.5,0.5,0.5
"2441","Kec. Tilatang Kamang ","Agam","Sulawesi Tengah",0,0,0,0.5,0.5,0.5,0.5
"2442","Kec. Palembayan ","Agam","Sulawesi Tengah",0,0,0,0,0,0,0
"2443","Kec. Palupuh ","Agam","Sulawesi Tengah",0,0,0,NA,NA,NA,NA
"2444","Kec. Sungai Pua ","Agam","Sulawesi Tengah",0,0,0,0.5,0.5,0.5,0.5
"2445","Kec. Candung ","Agam","Sulawesi Tengah",0,0,0,0.5,0.5,0.5,0.5
"2446","Kec. Kamang Magek ","Agam","Sulawesi Tengah",0,0,0,0,0,0,0
"2447","Kec. Banuhampu ","Agam","Sulawesi Tengah",0,0,0,0,0,0,0
"2448","Kec. Ampek Angkek ","Agam","Sulawesi Tengah",0,0,0,0.25,0.25,0.25,0.25
"2449","Kec. Ampek Nagari ","Agam","Sulawesi Tengah",0,0,0,0,0,0,0
"2450","Kec. Langgam ","Pelalawan","Papua",0,0,0,0,0,0,0
"2451","Kec. Pangkalan Kuras ","Pelalawan","Papua",0,0,0,0,0,0,0
"2452","Kec. Bunut ","Pelalawan","Papua",0,0,0,0,0,0,0
"2453","Kec. Kuala Kampar ","Pelalawan","Papua",0,0,0,0.5,0.5,0.5,0.5
"2454","Kec. Pangkalan Kerinci ","Pelalawan","Papua",0,0,0,0.08,0.08,0.08,0.08
"2455","Kec. Ukui ","Pelalawan","Papua",0,0,0,NA,NA,NA,NA
"2456","Kec. Pangkalan Lesung ","Pelalawan","Papua",0,0,0,0,0,0,0
"2457","Kec. Kerumutan ","Pelalawan","Papua",1,0,0,NA,NA,NA,NA
"2458","Kec. Pelalawan ","Pelalawan","Papua",0,0,0,NA,NA,NA,NA
"2459","Kec. Teluk Meranti ","Pelalawan","Papua",0.32,0,0.5,0.5,0.5,0.5,0.5
"2460","Kec. Bandar Sei Kijang ","Pelalawan","Papua",0,0,0,0,0,0,0
"2461","Kec. Bandar Petalangan ","Pelalawan","Papua",0,0,0,NA,NA,NA,NA
"2462","Kec. Ujung Batu ","Rokan Hulu","Papua",0.27,0.4,0.33,0.5,0.5,0.5,0.5
"2463","Kec. Rokan IV Koto ","Rokan Hulu","Papua",0,0,0.5,1,1,1,1
"2464","Kec. Rambah ","Rokan Hulu","Papua",0,0,0,0.25,0.25,0.25,0.25
"2465","Kec. Tambusai ","Rokan Hulu","Papua",0,0,0,0,0,0,0
"2466","Kec. Kepenuhan ","Rokan Hulu","Papua",0.45,0.5,0.5,1,1,1,1
"2467","Kec. Kunto Darussalam ","Rokan Hulu","Papua",0.86,1,1,0.33,0.33,0.33,0.33
"2468","Kec. Rambah Samo ","Rokan Hulu","Papua",0,0,0,0,0,0,0
"2469","Kec. Rambah Hilir ","Rokan Hulu","Papua",0.39,0.2,0.25,0.17,0.17,0.17,0.17
"2470","Kec. Tambusai Utara ","Rokan Hulu","Papua",0,0,0,0.33,0.33,0.33,0.33
"2471","Kec. Bangun Purba ","Rokan Hulu","Papua",0,NA,0,0,0,0,0
"2472","Kec. Tandun ","Rokan Hulu","Papua",0.04,0.5,0.33,0,0,0,0
"2473","Kec. ","Rokan Hulu","Papua",0,0,0,NA,NA,NA,NA
"2474","Kec. Bonai Darussalam ","Rokan Hulu","Papua",0,NA,0,NA,NA,NA,NA
"2475","Kec. Pagaran Tapah Darussalam ","Rokan Hulu","Papua",0,0,0,0,0,0,0
"2476","Kec. Pendalian IV Koto ","Rokan Hulu","Papua",0,0,0,0.5,0.5,0.5,0.5
"2477","Kec. Kepenuhan Hulu ","Rokan Hulu","Papua",0,0,0,NA,NA,NA,NA
"2478","Kec. Kuantan Mudik ","Kuantan Singingi","Papua",0.31,0.5,0.5,0,0,0,0
"2479","Kec. Kuantan Tengah ","Kuantan Singingi","Papua",0.2,0.43,0.33,0.38,0.38,0.38,0.38
"2480","Kec. Benai ","Kuantan Singingi","Papua",0,0,0,0.25,0.25,0.25,0.25
"2481","Kec. Singingi ","Kuantan Singingi","Papua",0,0,0,0,0,0,0
"2482","Kec. Kuantan Hilir ","Kuantan Singingi","Papua",0,0,0,0.5,0.5,0.5,0.5
"2483","Kec. Cerenti ","Kuantan Singingi","Papua",0,0,0,NA,NA,NA,NA
"2484","Kec. Pangean ","Kuantan Singingi","Papua",0,0,0,0,0,0,0
"2485","Kec. Logas Tanah Darat ","Kuantan Singingi","Papua",0,0,0,NA,NA,NA,NA
"2486","Kec. Inuman ","Kuantan Singingi","Papua",0.07,0,0,NA,NA,NA,NA
"2487","Kec. Singingi Hilir ","Kuantan Singingi","Papua",0.03,0,0,NA,NA,NA,NA
"2488","Kec. Hulu Kuantan ","Kuantan Singingi","Papua",0,0,0,NA,NA,NA,NA
"2489","Kec. Gunung Toar ","Kuantan Singingi","Papua",0,0,0,NA,NA,NA,NA
"2490","Kec. Kuantan Hilir Seberang ","Kuantan Singingi","Papua",0,0,0,NA,NA,NA,NA
"2491","Kec. Sentajo Raya ","Kuantan Singingi","Papua",0,0.67,0,0,0,0,0
"2492","Kec. Merbau ","Kepulauan Meranti","Papua",0,0,0,0,0,0,0
"2493","Kec. Rangsang ","Kepulauan Meranti","Papua",0,NA,0,NA,NA,NA,NA
"2494","Kec. Rangsang Barat ","Kepulauan Meranti","Papua",0.4,0.5,0.5,NA,NA,NA,NA
"2495","Kec. Tebing Tinggi ","Kepulauan Meranti","Papua",0.19,0.12,0.2,0,0,0,0
"2496","Kec. Tebing Tinggi Barat ","Kepulauan Meranti","Papua",0,0.5,0,NA,NA,NA,NA
"2497","Kec. Tasik Putri Puyu ","Kepulauan Meranti","Papua",0,0,0,NA,NA,NA,NA
"2498","Kec. Pulau Merbau ","Kepulauan Meranti","Papua",0,0,0,0,0,0,0
"2499","Kec. Tebing Tinggi Timur ","Kepulauan Meranti","Papua",0.4,0,0,NA,NA,NA,NA
"2500","Kec. Rangsang Pesisir ","Kepulauan Meranti","Papua",0.32,0,0.2,0,0,0,0
"2501","Kec. XIII Koto Kampar ","Kampar","Papua",0,0,0,0.5,0.5,0.5,0.5
"2502","Kec. Kampar Kiri ","Kampar","Papua",0,0,0,0,0,0,0
"2503","Kec. Kampar ","Kampar","Papua",0,0,0,NA,NA,NA,NA
"2504","Kec. Tambang ","Kampar","Papua",0,0,0,0,0,0,0
"2505","Kec. Bangkinang ","Kampar","Papua",0,0,0,NA,NA,NA,NA
"2506","Kec. Kuok ","Kampar","Papua",0,0,0,0.5,0.5,0.5,0.5
"2507","Kec. Siak Hulu ","Kampar","Papua",0.34,0.5,0.25,0.2,0.2,0.2,0.2
"2508","Kec. Tapung ","Kampar","Papua",0,0,0,0.38,0.38,0.38,0.38
"2509","Kec. Kampar Kiri Hulu ","Kampar","Papua",0,0,0,0,0,0,0
"2510","Kec. Kampar Kiri Hilir ","Kampar","Papua",0,0,0,0,0,0,0
"2511","Kec. Tapung Hulu ","Kampar","Papua",0,0,0,0,0,0,0
"2512","Kec. Tapung Hilir ","Kampar","Papua",0,0,0,0.25,0.25,0.25,0.25
"2513","Kec. Salo ","Kampar","Papua",0,0,0,NA,NA,NA,NA
"2514","Kec. Rumbio Jaya ","Kampar","Papua",0.55,0.5,0.5,NA,NA,NA,NA
"2515","Kec. Bangkinang ","Kampar","Papua",0,0,0,0.1,0.1,0.1,0.1
"2516","Kec. Perhentian Raja ","Kampar","Papua",0,0,0,0.5,0.5,0.5,0.5
"2517","Kec. Kampa ","Kampar","Papua",0,0.5,0.5,0,0,0,0
"2518","Kec. Kampar Utara ","Kampar","Papua",0,0,0,NA,NA,NA,NA
"2519","Kec. Kampar Kiri Tengah ","Kampar","Papua",0.07,0,0,0.25,0.25,0.25,0.25
"2520","Kec. Gunung Sahilan ","Kampar","Papua",0,0,0,0,0,0,0
"2521","Kec. Koto Kampar Hulu ","Kampar","Papua",0,0,0,0.5,0.5,0.5,0.5
"2522","Kec. Mandau ","Bengkalis","Papua",0.03,0.03,0.06,0.19,0.19,0.19,0.19
"2523","Kec. Bengkalis ","Bengkalis","Papua",0.11,0.07,0,0.11,0.11,0.11,0.11
"2524","Kec. Bantan ","Bengkalis","Papua",0.6,0.57,0.5,0.5,0.5,0.5,0.5
"2525","Kec. Bukit Batu ","Bengkalis","Papua",0.1,0.43,0.25,0,0,0,0
"2526","Kec. Rupat ","Bengkalis","Papua",0,0,0,0.5,0.5,0.5,0.5
"2527","Kec. Rupat Utara ","Bengkalis","Papua",0,0,0,0,0,0,0
"2528","Kec. Siak Kecil ","Bengkalis","Papua",0,0,0,NA,NA,NA,NA
"2529","Kec. Pinggir ","Bengkalis","Papua",0.08,0,0,0.09,0.09,0.09,0.09
"2530","Kec. Bathin Solapan ","Bengkalis","Papua",0,NA,0,NA,NA,NA,NA
"2531","Kec. Talang Muandau ","Bengkalis","Papua",0,0,0,NA,NA,NA,NA
"2532","Kec. Tampan ","Pekanbaru","Papua",0,0,0,0.09,0.09,0.09,0.09
"2533","Kec. Bukit Raya ","Pekanbaru","Papua",0.29,0.21,0.2,0.1,0.1,0.1,0.1
"2534","Kec. Lima Puluh ","Pekanbaru","Papua",0,0,0,0.1,0.1,0.1,0.1
"2535","Kec. Sail ","Pekanbaru","Papua",0.13,0.23,0.25,0.38,0.38,0.38,0.38
"2536","Kec. Pekanbaru ","Pekanbaru","Papua",0,0,0,0.5,0.5,0.5,0.5
"2537","Kec. Sukajadi ","Pekanbaru","Papua",0.2,0.09,0.14,0.2,0.2,0.2,0.2
"2538","Kec. Senapelan ","Pekanbaru","Papua",0.23,0.27,0.25,0.25,0.25,0.25,0.25
"2539","Kec. Rumbai ","Pekanbaru","Papua",0,0,0,0.5,0.5,0.5,0.5
"2540","Kec. Tenayan Raya ","Pekanbaru","Papua",0.03,0,0.17,0.17,0.17,0.17,0.17
"2541","Kec. Marpoyan Damai ","Pekanbaru","Papua",0.18,0.19,0.38,0.25,0.25,0.25,0.25
"2542","Kec. Rumbai Pesisir ","Pekanbaru","Papua",0.02,0,0,0,0,0,0
"2543","Kec. Payung Sekaki ","Pekanbaru","Papua",0.39,0.32,0.29,0.3,0.3,0.3,0.3
"2544","Kec. Bukit Kapur ","Dumai","Papua",0,0,0,0,0,0,0
"2545","Kec. Dumai Barat ","Dumai","Papua",0,0,0,0,0,0,0
"2546","Kec. Dumai Timur ","Dumai","Papua",0,0,0,0,0,0,0
"2547","Kec. Medang Kampai ","Dumai","Papua",0.43,1,1,NA,NA,NA,NA
"2548","Kec. Sungai Sembilan ","Dumai","Papua",0,0,0,NA,NA,NA,NA
"2549","Kec. Dumai ","Dumai","Papua",0,0,0,0.25,0.25,0.25,0.25
"2550","Kec. Dumai Selatan ","Dumai","Papua",0.06,0.18,0.17,0.25,0.25,0.25,0.25
"2551","Kec. Kubu ","Rokan Hilir","Papua",0,0,0,0,0,0,0
"2552","Kec. Bangko ","Rokan Hilir","Papua",0.09,0,0,0.12,0.12,0.12,0.12
"2553","Kec. Tanah Putih ","Rokan Hilir","Papua",0,0,0,0.1,0.1,0.1,0.1
"2554","Kec. Rimba Melintang ","Rokan Hilir","Papua",0,0,0,0.25,0.25,0.25,0.25
"2555","Kec. Bagan Sinembah ","Rokan Hilir","Papua",0.09,0.11,0.12,0.3,0.3,0.3,0.3
"2556","Kec. Pasir Limau Kapas ","Rokan Hilir","Papua",0.44,0.33,0,0.18,0.18,0.18,0.18
"2557","Kec. Sinaboi ","Rokan Hilir","Papua",0,0,0,0,0,0,0
"2558","Kec. Tanah Pth Tanjung Melawan ","Rokan Hilir","Papua",0,0,0,0,0,0,0
"2559","Kec. Pujud ","Rokan Hilir","Papua",0.14,0,0,0.78,0.78,0.78,0.78
"2560","Kec. Bangko Pusako ","Rokan Hilir","Papua",0,0,0,0.25,0.25,0.25,0.25
"2561","Kec. Simpang Kanan ","Rokan Hilir","Papua",0,0,0,0.5,0.5,0.5,0.5
"2562","Kec. Batu Hampar ","Rokan Hilir","Papua",0,0,0,0,0,0,0
"2563","Kec. Rantau Kopar ","Rokan Hilir","Papua",0.56,0,0,0,0,0,0
"2564","Kec. Pekaitan ","Rokan Hilir","Papua",0,0,0,NA,NA,NA,NA
"2565","Kec. Kubu Babussalam ","Rokan Hilir","Papua",0.08,0,0,0,0,0,0
"2566","Kec. Minas ","Siak","Papua",0.83,0.75,0.5,1,1,1,1
"2567","Kec. Siak ","Siak","Papua",0,0.11,0,0.25,0.25,0.25,0.25
"2568","Kec. Sungai Apit ","Siak","Papua",0,0,0,NA,NA,NA,NA
"2569","Kec. Tualang ","Siak","Papua",0,0,0,0,0,0,0
"2570","Kec. Kerinci Kanan ","Siak","Papua",0.24,1,1,NA,NA,NA,NA
"2571","Kec. Dayun ","Siak","Papua",0,0,0,NA,NA,NA,NA
"2572","Kec. Bunga Raya ","Siak","Papua",0.03,0,0,NA,NA,NA,NA
"2573","Kec. Sungai Mandau ","Siak","Papua",1,1,1,1,1,1,1
"2574","Kec. Kandis ","Siak","Papua",0.05,0.14,0.2,0.17,0.17,0.17,0.17
"2575","Kec. Lubuk Dalam ","Siak","Papua",0,0,0,0,0,0,0
"2576","Kec. Koto Gasib ","Siak","Papua",0,0,0,0,0,0,0
"2577","Kec. Pusako ","Siak","Papua",0,0.5,0,NA,NA,NA,NA
"2578","Kec. Sabak Auh ","Siak","Papua",0.93,1,1,0.5,0.5,0.5,0.5
"2579","Kec. Mempura ","Siak","Papua",0,0,0,NA,NA,NA,NA
"2580","Kec. Peranap ","Indragiri Hulu","Papua",0.16,0,0,0.33,0.33,0.33,0.33
"2581","Kec. Pasir Penyu ","Indragiri Hulu","Papua",0,0,0,0.17,0.17,0.17,0.17
"2582","Kec. Kelayang ","Indragiri Hulu","Papua",0.19,0.33,0,0,0,0,0
"2583","Kec. Seberida ","Indragiri Hulu","Papua",0,0,0,NA,NA,NA,NA
"2584","Kec. Rengat ","Indragiri Hulu","Papua",0.03,0,0,0.25,0.25,0.25,0.25
"2585","Kec. Rengat Barat ","Indragiri Hulu","Papua",0,0,0,0,0,0,0
"2586","Kec. Lirik ","Indragiri Hulu","Papua",0,0,0,0,0,0,0
"2587","Kec. Batang Gansal ","Indragiri Hulu","Papua",0,NA,0,NA,NA,NA,NA
"2588","Kec. Batang Cenaku ","Indragiri Hulu","Papua",0,0,0,0.25,0.25,0.25,0.25
"2589","Kec. Lubuk Batu Jaya ","Indragiri Hulu","Papua",0,NA,0,NA,NA,NA,NA
"2590","Kec. Sei Lala ","Indragiri Hulu","Papua",0,0,0,0,0,0,0
"2591","Kec. Rakit Kulim ","Indragiri Hulu","Papua",0,0,0,0.25,0.25,0.25,0.25
"2592","Kec. Kuala Cenaku ","Indragiri Hulu","Papua",0,0,0,NA,NA,NA,NA
"2593","Kec. Keritang ","Indragiri Hilir","Papua",0.02,0,0,0,0,0,0
"2594","Kec. Reteh ","Indragiri Hilir","Papua",0,0,0,0,0,0,0
"2595","Kec. Enok ","Indragiri Hilir","Papua",0,0,0,0,0,0,0
"2596","Kec. Tanah Merah ","Indragiri Hilir","Papua",0,0,0,0.5,0.5,0.5,0.5
"2597","Kec. Kuala Indragiri ","Indragiri Hilir","Papua",0.57,0.5,0,1,1,1,1
"2598","Kec. Tembilahan ","Indragiri Hilir","Papua",0.29,0.1,0.2,0,0,0,0
"2599","Kec. Tempuling ","Indragiri Hilir","Papua",0,0,0,NA,NA,NA,NA
"2600","Kec. Batang Tuaka ","Indragiri Hilir","Papua",0,0,0,NA,NA,NA,NA
"2601","Kec. Gaung Anak Serka ","Indragiri Hilir","Papua",0,0,0,0.25,0.25,0.25,0.25
"2602","Kec. Gaung ","Indragiri Hilir","Papua",0,0,0,0.25,0.25,0.25,0.25
"2603","Kec. Mandah ","Indragiri Hilir","Papua",0.19,0,0,0.5,0.5,0.5,0.5
"2604","Kec. Kateman ","Indragiri Hilir","Papua",0.33,0,0,0,0,0,0
"2605","Kec. Kemuning ","Indragiri Hilir","Papua",0,0,0,0.5,0.5,0.5,0.5
"2606","Kec. Pelangiran ","Indragiri Hilir","Papua",0.13,0,0,NA,NA,NA,NA
"2607","Kec. Pulau Burung ","Indragiri Hilir","Papua",0,0,0,0.5,0.5,0.5,0.5
"2608","Kec. Teluk Belengkong ","Indragiri Hilir","Papua",0,NA,0,0.5,0.5,0.5,0.5
"2609","Kec. Tembilahan Hulu ","Indragiri Hilir","Papua",0,0,0,0,0,0,0
"2610","Kec. Concong ","Indragiri Hilir","Papua",0,0,0,0,0,0,0
"2611","Kec. Kempas ","Indragiri Hilir","Papua",0,0,0,NA,NA,NA,NA
"2612","Kec. Sungai Batang ","Indragiri Hilir","Papua",0,NA,0,NA,NA,NA,NA
"2613","Kec. Rimbo Bujang ","Tebo","Gorontalo",0.1,0.25,0,0.17,0.17,0.17,0.17
"2614","Kec. Tebo Ilir ","Tebo","Gorontalo",0,0,0,NA,NA,NA,NA
"2615","Kec. Tebo Tengah ","Tebo","Gorontalo",0,0,0,0.25,0.25,0.25,0.25
"2616","Kec. Tebo Ulu ","Tebo","Gorontalo",0,0,0,0,0,0,0
"2617","Kec. Sumay ","Tebo","Gorontalo",0.1,0,0,NA,NA,NA,NA
"2618","Kec. VII Koto ","Tebo","Gorontalo",0,0,0,0.25,0.25,0.25,0.25
"2619","Kec. Rimbo Ilir ","Tebo","Gorontalo",0.14,0,0,0,0,0,0
"2620","Kec. Rimbo Ulu ","Tebo","Gorontalo",0,0.08,0,0.17,0.17,0.17,0.17
"2621","Kec. Tengah Ilir ","Tebo","Gorontalo",0,0,0,NA,NA,NA,NA
"2622","Kec. Serai Serumpun ","Tebo","Gorontalo",0.5,0,0,1,1,1,1
"2623","Kec. Muara Tabir ","Tebo","Gorontalo",0,0,0,0.5,0.5,0.5,0.5
"2624","Kec. ","Jambi","Jambi",0.01,0,0,0.14,0.14,0.14,0.14
"2625","Kec. Jambi Selatan ","Jambi","Jambi",0,0,0,0.29,0.29,0.29,0.29
"2626","Kec. Jelutung ","Jambi","Jambi",0,0,0,0.07,0.07,0.07,0.07
"2627","Kec. Telanai Pura ","Jambi","Jambi",0,0,0,0.17,0.17,0.17,0.17
"2628","Kec. Danau Teluk ","Jambi","Jambi",0,0,0,0,0,0,0
"2629","Kec. Jambi Timur ","Jambi","Jambi",0,0,0,0.1,0.1,0.1,0.1
"2630","Kec. Alam Barajo ","Jambi","Jambi",0.26,0.22,0.4,0.25,0.25,0.25,0.25
"2631","Kec. Danau Sipin ","Jambi","Jambi",0.6,0.48,0.38,0.33,0.33,0.33,0.33
"2632","Kec. Paal Merah ","Jambi","Jambi",0.58,0.2,0.33,0.33,0.33,0.33,0.33
"2633","Kec. Sungai Penuh ","Sungai Penuh",NA,0.05,0,0,0,0,0,0
"2634","Kec. Hamparan Rawang ","Sungai Penuh",NA,0,0,0,NA,NA,NA,NA
"2635","Kec. Pondok Tinggi ","Sungai Penuh",NA,0.03,0.5,0,NA,NA,NA,NA
"2636","Kec. Koto Baru ","Sungai Penuh",NA,0,0,0,0,0,0,0
"2637","Kec. Sungai Bungkal ","Sungai Penuh",NA,0,NA,0,NA,NA,NA,NA
"2638","Kec. Mersam ","Batang Hari","Jambi",0,0,0,0,0,0,0
"2639","Kec. Muara Tembesi ","Batang Hari","Jambi",0,0,0,NA,NA,NA,NA
"2640","Kec. Batin XXIV ","Batang Hari","Jambi",0.38,0.67,0.5,0.25,0.25,0.25,0.25
"2641","Kec. Muara Bulian ","Batang Hari","Jambi",0.05,0.07,0.1,0.07,0.07,0.07,0.07
"2642","Kec. Pemayung ","Batang Hari","Jambi",0,0,0.25,0.25,0.25,0.25,0.25
"2643","Kec. Maro Sebo Ulu ","Batang Hari","Jambi",0.66,0.4,1,0,0,0,0
"2644","Kec. Bajubang ","Batang Hari","Jambi",0.29,0.33,0,0,0,0,0
"2645","Kec. Maro Sebo Ilir ","Batang Hari","Jambi",0,0,0,NA,NA,NA,NA
"2646","Kec. Tanah Tumbuh ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2647","Kec. Tanah Sepenggal ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2648","Kec. Jujuhan ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2649","Kec. Rantau Pandan ","Bungo","Jambi",0,0,0,0.25,0.25,0.25,0.25
"2650","Kec. Pelepat ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2651","Kec. Pelepat Ilir ","Bungo","Jambi",0.02,0,0,0.25,0.25,0.25,0.25
"2652","Kec. Limbur Lubuk Mengkuang ","Bungo","Jambi",0,0.5,0,NA,NA,NA,NA
"2653","Kec. Bathin II Babeko ","Bungo","Jambi",0,0,0,0,0,0,0
"2654","Kec. Muko Muko Batin VII ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2655","Kec. Bathin III ","Bungo","Jambi",0,0,0,0,0,0,0
"2656","Kec. Bathin II Pelayang ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2657","Kec. Jujuhan Ilir ","Bungo","Jambi",0,0,0,NA,NA,NA,NA
"2658","Kec. Rimbo Tengah ","Bungo","Jambi",0,0,0,0.12,0.12,0.12,0.12
"2659","Kec. Tanah Sepenggal Lintas ","Bungo","Jambi",0.16,0.25,0.5,0.75,0.75,0.75,0.75
"2660","Kec. Jambi Luar ","Muaro Jambi","Jambi",0.16,0.18,0.25,0.22,0.22,0.22,0.22
"2661","Kec. Mestong ","Muaro Jambi","Jambi",0.34,0.25,0,0,0,0,0
"2662","Kec. Kumpeh Ulu ","Muaro Jambi","Jambi",0.13,0.33,0.33,0.75,0.75,0.75,0.75
"2663","Kec. Sekernan ","Muaro Jambi","Jambi",1,1,1,1,1,1,1
"2664","Kec. Maro Sebo ","Muaro Jambi","Jambi",0,0,0,0,0,0,0
"2665","Kec. Kumpeh ","Muaro Jambi","Jambi",0.94,0.5,0,NA,NA,NA,NA
"2666","Kec. Sungai Bahar ","Muaro Jambi","Jambi",0,0,0,0,0,0,0
"2667","Kec. Sungai Gelam ","Muaro Jambi","Jambi",0.03,0,0.5,0.2,0.2,0.2,0.2
"2668","Kec. Bahar Utara ","Muaro Jambi","Jambi",0,0,0,NA,NA,NA,NA
"2669","Kec. Bahar Selatan ","Muaro Jambi","Jambi",0,0,0,0,0,0,0
"2670","Kec. Mendahara ","Tanjung Jabung Timur","Jambi",0,0,0,NA,NA,NA,NA
"2671","Kec. Dendang ","Tanjung Jabung Timur","Jambi",0,0,0,NA,NA,NA,NA
"2672","Kec. Nipah Panjang ","Tanjung Jabung Timur","Jambi",0,0,0,0,0,0,0
"2673","Kec. Rantau Rasau ","Tanjung Jabung Timur","Jambi",0,0,0,0,0,0,0
"2674","Kec. Sadu ","Tanjung Jabung Timur","Jambi",1,1,1,NA,NA,NA,NA
"2675","Kec. Geragai ","Tanjung Jabung Timur","Jambi",0.16,0.14,0.5,0,0,0,0
"2676","Kec. Muara Sabak Barat ","Tanjung Jabung Timur","Jambi",0,0,0,NA,NA,NA,NA
"2677","Kec. Kuala Jambi ","Tanjung Jabung Timur","Jambi",0,0,0,0.5,0.5,0.5,0.5
"2678","Kec. Berbak ","Tanjung Jabung Timur","Jambi",0,NA,0,NA,NA,NA,NA
"2679","Kec. Muara Sabak Timur ","Tanjung Jabung Timur","Jambi",0,0,0,0.5,0.5,0.5,0.5
"2680","Kec. Jangkat ","Merangin","Gorontalo",0,0,0,NA,NA,NA,NA
"2681","Kec. Bangko ","Merangin","Gorontalo",0.58,0.33,0.25,0.5,0.5,0.5,0.5
"2682","Kec. Pamenang ","Merangin","Gorontalo",0,0,0,0.5,0.5,0.5,0.5
"2683","Kec. Muara Siau ","Merangin","Gorontalo",0,0,0,NA,NA,NA,NA
"2684","Kec. Sungai Manau ","Merangin","Gorontalo",0,0,0,0.5,0.5,0.5,0.5
"2685","Kec. Tabir ","Merangin","Gorontalo",0,0,0,0,0,0,0
"2686","Kec. Tabir Ulu ","Merangin","Gorontalo",0,0,0,0.5,0.5,0.5,0.5
"2687","Kec. Lembah Masurai ","Merangin","Gorontalo",0,0,0,NA,NA,NA,NA
